Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Cal,Description,Ingredients,Instructions,Nutrition,Tags
Creamy Indian curry with chicken breast,https://www.kitchenstories.com/en/recipes/creamy-indian-curry-with-chicken-breast,Easy 👌,30 min,0 min,0 min,2,780,Based on 269 ratings,"150 g basmati rice, 250 g chicken breast, 200 g canned chickpeas (drained weight), 15 g ginger, 1 red onion, 1 red pepper, 100 ml coconut milk, 1 stick lemongrass, 10 g cilantro, 2 tbsp peanut oil, 2 tsp curry paste (heaping), ½ tsp turmeric, salt, pepper","Cook basmati rice in salted boiling water according to the package instructions. Drain and set aside. Chop ginger, finely dice onion and slice pepper into strips. Cut chicken breast into small pieces. Fry chicken in a large frying pan with peanut oil. As soon as it is slightly browned, add ginger, onion, and pepper and continue to sauté. Add curry paste, turmeric, and coconut milk. Drain the chickpeas and add to the pan, along with the smashed lemongrass. Slowly bring to a boil. When a thick sauce has formed, finely chop cilantro and fold into the sauce. Season with salt and pepper.","Cal780, Fat27 g, Protein42 g, Carb88 g","indian,weeknight dinner,valentines day,main,gluten free,poultry,lactose free,spices,Asian,savory,for two,herbs,sauteing"
Easy baked chicken breasts with tomatoes and herbs,https://www.kitchenstories.com/en/recipes/easy-baked-chicken-breasts-with-tomatoes-and-herbs,Easy 👌,10 min,20 min,0 min,4,454,Based on 68 ratings,"4 chicken breasts (boneless, skinless), 250 g cherry tomatoes, 50 g jarred sun-dried tomatoes, 3 cloves garlic, 1 red onion, 1 sprig thyme, 4 sprigs parsley, 1 sprig rosemary, ½ tsp dried oregano, 3½ tbsp balsamic vinegar, 100 ml olive oil, salt, pepper","Preheat oven to 180°C/350 °F. Peel and mince garlic. Peel onion and thinly slice. Halve cherry tomatoes. Remove thyme, parsley, and rosemary leaves from sprigs and chop together finely. Add halved cherry tomatoes, sun-dried tomatoes, sliced onion, and minced garlic to a baking dish. Pat chicken breasts dry with paper towels and place them in the baking dish. Season with salt and pepper. Sprinkle the chopped herbs and dried oregano over the chicken. Add balsamic vinegar and olive oil to the dish and bake at 180°C/350 °F for approx. 20 min., or until the chicken is cooked through. Enjoy!","Cal454, Fat31 g, Protein36 g, Carb6 g","baking,roasting,weeknight dinner,main,prepare ahead,poultry,low carb,lactose free,casseroles and bakes,european,savory,fruits,for four,herbs,autumn,winter"
5-ingredient oven-baked chicken breasts with lemon-butter asparagus,https://www.kitchenstories.com/en/recipes/5-ingredient-oven-baked-chicken-breasts-with-lemon-butter-asparagus,Easy 👌,25 min,25 min,0 min,2,689,Based on 48 ratings,"2 chicken breasts (skin-on), 1 lemon, 6 tbsp butter, 350 g green asparagus, 10 g parsley, 100 g flour, salt, pepper, olive oil (for frying)","Preheat oven to 200°C/400°F. Zest and juice the lemon. Trim asparagus. Mince parsley. Add butter to an ovenproof pan and transfer to the oven. Pat chicken breasts dry and season with salt and pepper all over. Dredge in flour and shake off any excess then place floured chicken breasts into preheated ovenproof pan. Roast at 200°C/400°F undisturbed for approx. 15 min., or until brown and crispy on the bottom. Flip and cook approx. 10 min. more, or until cooked through. Keep warm. In the meantime, add some olive oil to a frying pan. Add asparagus to the pan and sauté until cooked through and brown in spots, approx. 8 min. Remove from pan and set aside. Add remaining butter to the frying pan and let melt. Add lemon juice and season with salt and pepper. Once a thick sauce has formed, add asparagus back to the pan and coat in the sauce. Add lemon zest and some parsley. Serve chicken breasts with lemon-butter asparagus and garnish with remaining parsley. Enjoy!","Cal689, Fat37 g, Protein45 g, Carb42 g","kid friendly,weeknight dinner,main,poultry,savory,fruits,for two,dairy,herbs,vegetables,oven,sauteing"
Blackberry-balsamic roasted chicken breasts,https://www.kitchenstories.com/en/recipes/blackberry-balsamic-roasted-chicken-breasts,Easy 👌,30 min,20 min,0 min,4,489,Based on 23 ratings,"4 chicken breasts, 400 g blackberries, 100 ml balsamic vinegar, 30 g brown sugar, 1 lemon, 50 ml barbecue sauce, 2 sprigs rosemary, 50 g unsalted butter, 1 avocado, 1 red onion, 300 g mixed lettuce, 40 g pecans (toasted), salt, pepper","Purée most of the blackberries with an immersion blender and pass through a sieve. Zest and juice lemon. Mix blackberry purée with balsamic vinegar, sugar, lemon juice, barbecue sauce, and rosemary in a saucepan set over low heat. Let cook, stirring occasionally, for approx. 20 min. Season with salt and pepper. Reserve approx. 50 ml/¼ cup of the blackberry sauce for the salad dressing and mix the rest with butter. Preheat the oven to 180°C/350°F. Salt the chicken breasts and place them in a baking dish. Spread the blackberry sauce over and bake for approx. 20 min., or until chicken is cooked through. Remove the chicken breasts from the oven and cut them into strips. Slice avocado and slice onion into thin rings. Toss the salad in a bowl with avocado, red onion rings, remaining blackberries, and pecans. Drizzle with reserved blackberry sauce and serve. Enjoy!","Cal489, Fat25 g, Protein39 g, Carb20 g","salad,sweet,berries,barbecue,nuts,main,gluten free,crowd pleaser,poultry,dinner party,low carb,lactose free,savory,for four,summer"
Chicken breast with spinach and quick potato gratin,https://www.kitchenstories.com/en/recipes/chicken-breast-with-spinach-and-quick-potato-gratin,Medium 👍,45 min,15 min,0 min,4,550,Based on 8 ratings,"4 chicken breasts, 400 g baby spinach, 800 g floury potatoes, 2 onions, 1 stock cube, 100 ml heavy cream, 30 g Parmesan cheese (grated), 50 g smoked bacon, 1 clove garlic, 200 g leek, salt, pepper, rosemary, olive oil for frying","First, prepare the potato gratin. Preheat the oven to 180°C/360°F. Wash and finely slice the unpeeled potatoes. Put the potato slices in a pot of salty, boiling water and simmer for approx. 5 min. Peel and finely dice the onions. Sauté in some olive oil, and add the crushed stock cube, some salt and pepper and fry until golden brown. Drain the potatoes, then add to the onion together with the heavy cream. Bring to a boil, then add the mixture to an ovenproof baking dish. Generously sprinkle some Parmesan cheese on top. Bake at 180°C/360°F for approx. 15 min. or until the gratin looks nice and golden brown. While it's baking, prepare the chicken. Flatten chicken breasts to 1.5-cm/0.5-in. thick. Season with salt, pepper, and rub with fresh rosemary. Then fry on each side in some olive oil for approx. 2 – 3 min. until golden brown and cooked through. Chop smoked bacon. Add to the pan and fry briefly. Chop garlic. Wash leek, cut lengthwise, and finely slice. Sauté in a pot with some olive oil on high heat, then add the baby spinach. Season with salt, pepper, and add garlic. When spinach is wilted, it's ready to serve.","Cal550, Fat23 g, Protein47 g, Carb36 g","kid friendly,weeknight dinner,main,cheese,german,pork,poultry,casseroles and bakes,savory,for four,frying,dairy,herbs,vegetables,oven,sauteing"
One-pan chicken breast with creamy grape sauce,https://www.kitchenstories.com/en/recipes/one-pan-chicken-breast-with-creamy-grape-sauce,Easy 👌,60 min,0 min,0 min,2,738,Based on 23 ratings,"2 chicken breasts, 225 g seedless green grapes, 1 onion, 2 cloves garlic, 10 g parsley, 1 tbsp flour, 2 tbsp butter, 125 ml white wine, 350 ml chicken stock, 1 tbsp mustard, 45 ml heavy cream, salt, pepper","Peel and finely dice onion and garlic. Finely chop parsley leaves. Set aside. Add flour, salt, and pepper to a plate, and stir to combine. Dredge chicken breasts in flour until they are covered all over—shaking off excess. Heat butter in a frying pan set over medium-high heat. Fry chicken breasts for approx. 5 min., then flip and fry for another approx. 2 min. Remove chicken breasts from the frying pan. Add onion and garlic and fry until translucent. Deglaze with white wine. Add chicken stock, mustard, and grapes. Stir to combine. Transfer chicken breasts back to the frying pan, cover with a lid, and let simmer for approx. 25 min. Remove the lid and let simmer for approx. 15 min. or until chicken is fully cooked. Stir in heavy cream and chopped parsley and remove frying pan from the heat. Serve with rice, pasta, or fresh bread and enjoy!","Cal738, Fat37 g, Protein63 g, Carb27 g","weeknight dinner,main,comfort food,poultry,savory,fruits,frying,for two,alcohol,dairy,vegetables,autumn"
Spinach and feta stuffed chicken breasts,https://www.kitchenstories.com/en/recipes/spinach-and-feta-stuffed-chicken-breasts,Easy 👌,35 min,8 min,0 min,4,560,Based on 7 ratings,"650 g chicken breast, 200 g fresh spinach, 100 g feta, 2 onions, 1 tsp nutmeg, 4 endive, 500 g cherry tomatoes, 100 ml olive oil, lamb's lettuce for serving, vegetable oil for frying, salt, pepper, sugar","Wash and dry spinach. Peel onions and dice. Heat some oil in a frying pan set over medium-high heat, add spinach and onion and sauté briefly. Season with salt, pepper, and nutmeg to taste. Remove from pan, add to a bowl, and let cool. Crumble feta into the bowl and fold in the spinach. Pre-heat oven to 180°C/350°F. Wash endive and quarter. Transfer endive and tomatoes onto a baking sheet, drizzle with some olive oil, and season with salt, pepper, and sugar to taste. Roast in oven for approx. 8 – 10 min. Wash chicken breast and dry with a paper towel. Cut an incision lengthwise and stuff with spinach-feta-mixture. Heat some vegetable oil in another frying pan set over medium-high heat and sear stuffed chicken from both sides for approx. 2 min. Reduce heat and let simmer for approx. 5 – 8 min. until cooked through. Wash lamb's lettuce. Serve stuffed chicken breast with roasted endive and, tomatoes and lamb's lettuce. Enjoy!","Cal560, Fat36 g, Protein50 g, Carb8 g","kid friendly,weeknight dinner,main,crowd pleaser,poultry,savory,for four,dairy,vegetables,stuffing"
One-pan chicken breast with tangy caper sauce,https://www.kitchenstories.com/en/recipes/one-pan-chicken-breast-with-tangy-caper-sauce-en,Easy 👌,30 min,0 min,0 min,2,370,Based on 9 ratings,"2 chicken breasts, 30 g capers, 1 tbsp olive oil, 1 onion, 1 tsp dried tarragon, 400 g canned whole peeled tomatoes, 2 tbsp red wine vinegar, 1 tbsp tomato paste, salt, pepper, parsley (for serving)","Pat chicken breast dry with paper towels, then season with salt and pepper. Heat olive oil in a frying pan over medium heat and fry chicken breasts for approx. 5 min. on each side, or until they are brown on both sides. Peel and finely dice onion. Add onion to the pan and fry for approx. 2 min. or until the onion softens. Add tarragon, capers, canned tomatoes, red wine vinegar, and tomato paste and stir to combine. Let simmer over medium heat for approx. 10 min. Season with salt and pepper to taste. Serve chicken breasts in sauce with chopped parsley on top. Enjoy!","Cal370, Fat17 g, Protein46 g, Carb7 g","kid friendly,weeknight dinner,one pot,main,gluten free,poultry,low carb,light,savory,frying,for two"
Butter chicken in mildly spiced tomato sauce,https://www.kitchenstories.com/en/recipes/butter-chicken,Medium 👍,45 min,0 min,0 min,4,783,Based on 1242 ratings,"500 g chicken breasts, 100 g tomato paste, 2 carrots, 1 bell pepper, 1 onion, 2 cloves garlic, 10 g ginger, 2 scallions, 2 tsp red curry paste, 500 ml coconut milk, 1 tbsp curry powder, 1 tsp ground turmeric, 1 tbsp garam masala, 100 g cashews, 50 g butter (melted), 100 g yogurt, vegetable oil, salt, pepper","Cut carrots and bell pepper into small cubes. Dice onion, garlic, and ginger. Finely slice green onion. Cut chicken into strips. Heat some vegetable oil in a large saucepan over medium heat. Sauté garlic and ginger for approx. 2 – 3 min. Then, add tomato paste and continue to sauté. Add red curry paste and lightly roast. Stir occasionally to avoid burning. Deglaze with coconut milk. Add chicken, onion, carrot, and bell pepper to saucepan. Add curry powder, turmeric, garam masala, salt, and pepper and stir to combine. Continue to cook over medium-low heat, stirring occasionally, until chicken is cooked through and vegetables are tender, approx. 15 – 20 min. Reduce heat to low and stir in cashews, melted butter, and yogurt. Season to taste. Garnish with green onions. Enjoy with potatoes, rice, or naan.","Cal783, Fat61 g, Protein37 g, Carb30 g","indian,weeknight dinner,one pot,nuts,main,gluten free,crowd pleaser,comfort food,spices,Asian,savory,dairy,sauteing"
Lemon chicken tikka masala,https://www.kitchenstories.com/en/recipes/lemon-chicken-tikka-masala,Easy 👌,45 min,15 min,30 min,2,930,Based on 497 ratings,"2 chicken breasts, 2 cloves garlic, 25 g ginger, ½ lemon, 5 g garam masala, 150 g yogurt, ¾ tbsp salt, 2 tomatoes, 1 onion, 20 g cilantro, 1 chili, 1 tbsp vegetable oil, 150 g basmati rice, 250 ml water, 200 g heavy cream, 1 chicken stock powder","Preheat oven to 200°C/390°F. Peel and finely dice garlic. Grate ginger. Zest and juice lemon. Wash chicken breasts, pat dry, and cut into bite-sized pieces. In a large mixing bowl, mix together chicken, yogurt, ginger, half of the garlic, half of the garam masala, lemon juice and zest, and some salt. Cut tomatoes into small dices. Peel and finely dice onion. Pluck cilantro leaves from stem and finely dice stem. In a large saucepan, sauté onion, remainder of garlic, chopped chili, and cilantro stems in vegetable oil over high heat for approx. 1 min. Then, add diced tomato, remainder of garam masala, and continue to cook for another 3 min. Transfer marinated chicken to a parchment-lined baking sheet and bake in preheated oven 180°C/390°F for approx. 15 min. until golden brown. In a separate large saucepan, add rice, water, and salt. Bring to a boil, cover, reduce heat to low, and cook for approx. 12 – 14 min. until rice is tender and has absorbed all the liquid. Add cream and bouillon to first pan, bring to a boil for approx. 1 – 2 min., reduce heat, and continue to cook for another 10 min. Add baked chicken to pan and stir well to incorporate. Transfer rice to a serving plate, ladle lemon chicken tikka masala on top, and garnish with cilantro leaves.","Cal930, Fat24 g, Protein87 g, Carb87 g","indian,kid friendly,weeknight dinner,main,crowd pleaser,comfort food,poultry,dinner party,spices,Asian,savory,for two,herbs,vegetables,spring,autumn,summer,winter,oven,sauteing"
