Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Rating Count,Saves,Cal,Description,Ingredients,Instructions,Nutrition,Tags
"Pasta Ramen","https://www.kitchenstories.com/en/recipes/pasta-ramen","Easy 👌","10 min","0 min","0 min","1","25","1.1k","581","This super easy, budget-friendly, and super comforting dish is here to save busy weeknights by combining the best of two classics.","250 g spaghetti, 3 cloves garlic, 15 g fresh ginger, 3 tbsp soy sauce, 1 tbsp sesame oil, 1 tbsp rice vinegar, 1 tsp sugar, 2 eggs, 3 scallions, 1 tsp sesame seeds, chili oil for serving, salt","Cut the ends off the garlic and ginger and peel. Finely chop the garlic and grate the ginger. Mix together the soy sauce, sesame oil, rice vinegar, sugar, grated ginger, and chopped garlic in a bowl and set aside. Bring a large pot of water to a boil, season generously with salt, and cook pasta according to package instructions. Drain the pasta, reserving 1 - 1.5 cups of pasta water. In the meantime, bring another pot of water to a boil. Add the eggs and boil for approx. 7 min. Remove the eggs from the water and rinse them in cold water, then peel and cut in half. Cut the scallion into small slices. Add the pasta back to the pot, toss with the soy sauce mixture, and mix together, adding the reserved pasta water a bit at a time until the pasta has a glossy, slightly loose sauce. Season with more soy sauce and rice vinegar to taste. Serve pasta with jammy eggs, thinly sliced scallion, sesame seeds, and chili oil. Enjoy!","Cal581, Fat17 g, Protein25 g, Carb82 g","asian, weeknight dinner, vegetarian, main, pasta, for one, lactose free, Meatless, savory, frying, egg, dairy free, for two, herbs, boiling, budget-bites"
"Marry Me Pasta","https://www.kitchenstories.com/en/recipes/marry-me-pasta","Easy 👌","15 min","20 min","0 min","2","66","15.3k","1018","Creamy sun-dried tomato and Parmesan pasta so good it just might inspire a marriage proposal. This ultra-indulgent recipe combines the best of two classics.","250 g penne, 3 cloves garlic, 80 g sun-dried tomatoes in oil, 5 g fresh basil, 1 tbsp olive oil, 1 tsp chili flakes, 200 g heavy cream, 200 ml vegetable broth, 60 g Parmesan cheese (grated), salt, pepper","Finely chop the garlic and sun-dried tomatoes. Roughly chop the basil. Heat olive oil in a frying pan over medium heat, add garlic and chili flakes and sauté for approx. 1 min. Add the sun-dried tomatoes and sauté for approx. 2 min. more. Deglaze the pan with vegetable broth. Add heavy cream and simmer for approx. 10 min. until the sauce has thickened. Add the Parmesan cheese and stir until melted. Season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed until the sauce coats the pasta. Serve with fresh basil and more Parmesan cheese. Enjoy!","Cal1018, Fat66 g, Protein29 g, Carb74 g","italian, weeknight dinner, vegetarian, main, cheese, crowd pleaser, pasta, lactose free, comfort food, Meatless, european, savory, for two, dairy, vegetables, sauteing"
"One-pot creamy mushroom pasta","https://www.kitchenstories.com/en/recipes/one-pot-creamy-mushroom-pasta","Easy 👌","15 min","20 min","0 min","4","101","37.8k","634","This one-pot mushroom pasta is so creamy and comforting, you'll want to make it again and again. Ready in just 35 minutes!","400 g pasta, 500 g mushrooms, 1 onion, 3 cloves garlic, 800 ml vegetable broth, 200 ml heavy cream, 50 g Parmesan cheese, 5 g parsley, 2 tbsp olive oil, salt, pepper","Slice the mushrooms. Finely chop the onion and garlic. Roughly chop the parsley. Heat olive oil in a large pot over medium-high heat. Add mushrooms and cook for approx. 5 - 7 min. until browned. Add onion and garlic and cook for approx. 2 - 3 min. more. Add pasta and vegetable broth. Bring to a boil, then reduce heat and simmer for approx. 10 - 12 min. until pasta is al dente and most of the liquid has been absorbed. Stir in heavy cream and Parmesan cheese. Season with salt and pepper. Serve with parsley and more Parmesan cheese. Enjoy!","Cal634, Fat26 g, Protein22 g, Carb78 g","italian, weeknight dinner, vegetarian, one pot, main, cheese, crowd pleaser, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, sauteing"
"One-pot pasta alla vodka","https://www.kitchenstories.com/en/recipes/one-pot-pasta-alla-vodka","Easy 👌","10 min","20 min","0 min","4","76","27.2k","688","This one-pot pasta alla vodka is creamy, indulgent, and ready in just 30 minutes. A weeknight dinner winner!","400 g rigatoni, 1 onion, 4 cloves garlic, 2 tbsp tomato paste, 60 ml vodka, 400 ml heavy cream, 400 g crushed tomatoes, 600 ml vegetable broth, 50 g Parmesan cheese, 5 g basil, 2 tbsp olive oil, 1 tsp chili flakes, salt, pepper","Finely chop the onion and garlic. Roughly chop the basil. Heat olive oil in a large pot over medium heat. Add onion and cook for approx. 3 - 4 min. until softened. Add garlic and chili flakes and cook for approx. 1 min. more. Stir in tomato paste and cook for approx. 2 min. Add vodka and let simmer for approx. 2 min. Add crushed tomatoes, vegetable broth, and heavy cream. Bring to a boil. Add pasta and cook for approx. 10 - 12 min. until al dente, stirring occasionally. Stir in Parmesan cheese and season with salt and pepper. Serve with fresh basil and more Parmesan cheese. Enjoy!","Cal688, Fat35 g, Protein18 g, Carb72 g","italian, weeknight dinner, vegetarian, one pot, main, cheese, crowd pleaser, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, sauteing"
"Pasta e fagioli","https://www.kitchenstories.com/en/recipes/pasta-e-fagioli","Easy 👌","15 min","30 min","0 min","4","48","12.1k","505","This Italian classic is hearty, comforting, and packed with flavor. Ready in just 45 minutes!","200 g ditalini pasta, 1 can white beans, 1 can crushed tomatoes, 1 onion, 2 carrots, 2 celery stalks, 3 cloves garlic, 800 ml vegetable broth, 50 g Parmesan cheese, 5 g rosemary, 2 tbsp olive oil, salt, pepper","Finely chop the onion, carrots, celery, and garlic. Drain and rinse the white beans. Roughly chop the rosemary. Heat olive oil in a large pot over medium heat. Add onion, carrots, and celery and cook for approx. 5 - 7 min. until softened. Add garlic and rosemary and cook for approx. 1 min. more. Add crushed tomatoes and vegetable broth. Bring to a boil, then reduce heat and simmer for approx. 15 min. Add white beans and pasta and cook for approx. 10 - 12 min. until pasta is al dente. Season with salt and pepper. Serve with Parmesan cheese. Enjoy!","Cal505, Fat11 g, Protein21 g, Carb79 g","italian, weeknight dinner, vegetarian, one pot, soup, main, pasta, comfort food, Meatless, european, savory, for four, vegetables, sauteing"
"Cajun chicken alfredo","https://www.kitchenstories.com/en/recipes/cajun-chicken-alfredo","Easy 👌","15 min","20 min","0 min","4","42","11.8k","892","Creamy, spicy, and utterly indulgent - this Cajun chicken alfredo is a crowd-pleaser! Ready in just 35 minutes.","400 g fettuccine, 500 g chicken breast, 3 cloves garlic, 300 ml heavy cream, 100 g Parmesan cheese, 2 tbsp Cajun seasoning, 2 tbsp olive oil, 5 g parsley, salt, pepper","Cut the chicken breast into bite-sized pieces and season with Cajun seasoning, salt, and pepper. Finely chop the garlic. Roughly chop the parsley. Heat olive oil in a large pan over medium-high heat. Add chicken and cook for approx. 5 - 7 min. until browned and cooked through. Remove from pan and set aside. In the same pan, add garlic and cook for approx. 1 min. Add heavy cream and bring to a simmer. Add Parmesan cheese and stir until melted. Season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta and chicken to the sauce and toss to combine, adding pasta water as needed. Serve with parsley and more Parmesan cheese. Enjoy!","Cal892, Fat46 g, Protein52 g, Carb67 g","american, weeknight dinner, main, cheese, crowd pleaser, pasta, comfort food, savory, for four, dairy, chicken, sauteing"
"Feta pasta bake","https://www.kitchenstories.com/en/recipes/feta-pasta-bake","Easy 👌","10 min","35 min","0 min","4","123","42.7k","658","This viral TikTok feta pasta is creamy, tangy, and ridiculously easy. Just toss everything in the oven and dinner is done!","400 g pasta, 400 g cherry tomatoes, 200 g feta cheese, 4 cloves garlic, 60 ml olive oil, 5 g basil, 1 tsp chili flakes, salt, pepper","Preheat the oven to 200°C/400°F. Place cherry tomatoes and whole garlic cloves in a baking dish. Place the block of feta cheese in the center. Drizzle with olive oil and season with chili flakes, salt, and pepper. Bake for approx. 30 - 35 min. until tomatoes are bursting and feta is golden. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Remove the baking dish from the oven and mash the tomatoes, garlic, and feta together to create a creamy sauce. Add the pasta and toss to combine, adding pasta water as needed. Roughly chop the basil and stir into the pasta. Serve immediately. Enjoy!","Cal658, Fat33 g, Protein22 g, Carb68 g","italian, weeknight dinner, vegetarian, main, cheese, crowd pleaser, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, baking"
"Pumpkin pasta","https://www.kitchenstories.com/en/recipes/pumpkin-pasta","Easy 👌","15 min","25 min","0 min","4","38","10.2k","612","This creamy pumpkin pasta is the ultimate fall comfort food. Sweet, savory, and ready in 40 minutes!","400 g pasta, 500 g pumpkin puree, 1 onion, 3 cloves garlic, 200 ml heavy cream, 200 ml vegetable broth, 50 g Parmesan cheese, 1 tsp nutmeg, 5 g sage, 2 tbsp olive oil, salt, pepper","Finely chop the onion and garlic. Roughly chop the sage. Heat olive oil in a large pan over medium heat. Add onion and cook for approx. 3 - 4 min. until softened. Add garlic and nutmeg and cook for approx. 1 min. more. Add pumpkin puree, vegetable broth, and heavy cream. Bring to a simmer and cook for approx. 10 - 15 min. until the sauce has thickened. Stir in Parmesan cheese and season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with sage and more Parmesan cheese. Enjoy!","Cal612, Fat28 g, Protein17 g, Carb72 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, autumn, sauteing"
"Creamy sun-dried tomato pasta","https://www.kitchenstories.com/en/recipes/creamy-sun-dried-tomato-pasta","Easy 👌","10 min","15 min","0 min","2","89","31.4k","823","This creamy sun-dried tomato pasta is rich, flavorful, and ready in just 25 minutes. Pure comfort in a bowl!","250 g pasta, 100 g sun-dried tomatoes in oil, 3 cloves garlic, 200 ml heavy cream, 100 ml vegetable broth, 50 g Parmesan cheese, 5 g basil, 1 tsp chili flakes, salt, pepper","Finely chop the garlic and sun-dried tomatoes. Roughly chop the basil. Heat 2 tbsp of oil from the sun-dried tomatoes jar in a pan over medium heat. Add garlic and chili flakes and cook for approx. 1 min. Add sun-dried tomatoes and cook for approx. 2 min. more. Add vegetable broth and heavy cream. Bring to a simmer and cook for approx. 5 - 7 min. until the sauce has thickened. Stir in Parmesan cheese and season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with basil and more Parmesan cheese. Enjoy!","Cal823, Fat51 g, Protein22 g, Carb67 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for two, dairy, vegetables, sauteing"
"Spicy vodka rigatoni","https://www.kitchenstories.com/en/recipes/spicy-vodka-rigatoni","Easy 👌","10 min","20 min","0 min","4","67","23.5k","712","This spicy vodka rigatoni is creamy, indulgent, and has the perfect kick. Ready in 30 minutes!","400 g rigatoni, 1 onion, 4 cloves garlic, 2 tbsp tomato paste, 60 ml vodka, 400 ml heavy cream, 400 g crushed tomatoes, 50 g Parmesan cheese, 5 g basil, 2 tbsp olive oil, 2 tsp chili flakes, salt, pepper","Finely chop the onion and garlic. Roughly chop the basil. Heat olive oil in a large pan over medium heat. Add onion and cook for approx. 3 - 4 min. until softened. Add garlic and chili flakes and cook for approx. 1 min. more. Stir in tomato paste and cook for approx. 2 min. Add vodka and let simmer for approx. 2 min. to cook off the alcohol. Add crushed tomatoes and heavy cream. Bring to a simmer and cook for approx. 10 min. until the sauce has thickened. Stir in Parmesan cheese and season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with basil and more Parmesan cheese. Enjoy!","Cal712, Fat40 g, Protein18 g, Carb69 g","italian, weeknight dinner, vegetarian, main, cheese, crowd pleaser, pasta, comfort food, Meatless, european, savory, for four, dairy, vegetables, sauteing"
"Lemon butter pasta","https://www.kitchenstories.com/en/recipes/lemon-butter-pasta","Easy 👌","10 min","15 min","0 min","2","45","14.8k","684","This lemon butter pasta is light, bright, and ready in just 25 minutes. The perfect weeknight dinner!","250 g spaghetti, 2 lemons, 100 g butter, 3 cloves garlic, 50 g Parmesan cheese, 5 g parsley, salt, pepper","Zest and juice the lemons. Finely chop the garlic. Roughly chop the parsley. Cook pasta according to package instructions until al dente. Drain the pasta, reserving 1 cup of pasta water. In the same pot, melt butter over medium heat. Add garlic and cook for approx. 1 min. Add lemon zest and juice. Add the pasta and toss to combine, adding pasta water as needed to create a silky sauce. Stir in Parmesan cheese and season with salt and pepper. Serve with parsley and more Parmesan cheese. Enjoy!","Cal684, Fat42 g, Protein17 g, Carb59 g","italian, weeknight dinner, vegetarian, main, cheese, pasta, comfort food, Meatless, european, savory, for two, dairy, sauteing"
"Pasta Puttanesca","https://www.kitchenstories.com/en/recipes/pasta-puttanesca","Easy 👌","10 min","20 min","0 min","4","52","16.9k","538","This classic Italian pasta puttanesca is bold, briny, and ready in 30 minutes. A true pantry hero!","400 g spaghetti, 1 can crushed tomatoes, 100 g black olives, 50 g capers, 4 anchovy fillets, 4 cloves garlic, 5 g parsley, 3 tbsp olive oil, 1 tsp chili flakes, salt, pepper","Finely chop the garlic, anchovy fillets, and parsley. Slice the black olives. Heat olive oil in a large pan over medium heat. Add garlic, anchovies, and chili flakes and cook for approx. 2 min. until fragrant. Add crushed tomatoes, black olives, and capers. Bring to a simmer and cook for approx. 15 min. until the sauce has thickened. Season with salt and pepper. In the meantime, cook pasta according to package instructions until al dente. Drain the pasta, reserving some pasta water. Add the pasta to the sauce and toss to combine, adding pasta water as needed. Serve with parsley. Enjoy!","Cal538, Fat18 g, Protein16 g, Carb77 g","italian, weeknight dinner, main, pasta, comfort food, savory, for four, dairy free, lactose free, vegetables, sauteing"
