Title,Description,Difficulty,Prep Time,Cooking Time,Servings,Ingredients,Steps,Tags
Cheesy air fryer tortilla quiche,"This air fryer tortilla quiche is a genius hack for a quick and delicious breakfast or brunch. With eggs, veggies, and cheese baked in tortillas, it's the perfect combo of convenience and flavor. Use your air fryer for a crispy outside and a creamy inside. The great thing about this recipe is that you can easily customize it to your liking: Add cooked bacon, sausage, or ham for a meatier version, or swap the veggies for what you have on hand, like bell peppers, mushrooms, or tomatoes. Make sure to press down the tortillas well into the muffin molds so they hold their shape. If you don't have an air fryer, you can also bake these in a regular oven at 180°C/350°F for approx. 15–18 min.",Easy 👌,15 min,10 min,4 portions,"4 small tortilla wraps, 4 eggs, 100g baby spinach, 1 scallion, 60g feta cheese, 80g shredded mozzarella, salt, pepper","1. Beat eggs with salt and pepper. Finely chop spinach and scallion, crumble feta. Mix into eggs with mozzarella. 2. Press tortillas into air fryer muffin molds. Divide egg mixture among tortilla cups. 3. Air fry at 180°C/350°F for 10 min until set and golden. Let cool slightly before removing.","marinating, side, breakfast, vegetarian, main, cheese, prepare ahead, eggs, brunch, savory, for four, dairy, vegetables, spring, autumn, summer, winter, air fryer"
Creamy white bean dip with herb oil,"Forget hummus, because white bean dip is about to be your new favorite! Silky, creamy, and downright addictive, this dip is the perfect companion for crunchy veggies, pita chips, or a simple slice of sourdough. What sets this dip apart is its lush texture from the cannellini beans and the herby, garlicky oil drizzle that takes it to the next level. You can make this dip in under 10 minutes, which makes it perfect for spontaneous gatherings or when you simply want a quick, wholesome snack. Swap the herbs to whatever you like – basil, cilantro, or even mint will work beautifully. Want to make it extra rich? Stir in a spoonful of tahini or Greek yogurt. The dip can be stored in the fridge for up to 3 days and tastes even better the next day when the flavors have melded together.",Easy 👌,10 min,0 min,4 portions,"400g canned white beans, 2 cloves garlic, 3 tbsp olive oil, 1 tbsp lemon juice, 10g parsley, 5g dill, salt, pepper, chili flakes (optional)","1. Drain and rinse white beans. Peel garlic. 2. Blend beans, 1 clove garlic, 2 tbsp olive oil, lemon juice, salt and pepper until smooth. 3. Finely chop herbs and remaining garlic. Mix with remaining olive oil and chili flakes. 4. Transfer dip to serving bowl, drizzle herb oil on top and serve.","side, vegetarian, dip, vegan, main, prepare ahead, veganuary, lactose free, gluten free, brunch, spices, Meatless, light, savory, dairy, herbs, vegetables, spring, autumn, summer, winter"
Hungarian lecso,"This recipe is one of the most famous in Hungary. It is similar to ratatouille. During my last trip to Hungary, I had the pleasure of trying the local Lecso and I was simply amazed. We usually use very small green peppers there. Optionally you can add smoked sausages (called Kolbász) or you can fry eggs in it if you would like to make a vegetarian version. Perfect to serve on a slice of bread for a light dinner!",Easy 👌,10 min,30 min,2 portions,"1 onion, 2 cloves garlic, 400g tomatoes, 3 bell peppers, 2 tbsp vegetable oil, 1 tsp paprika, 1 tsp sugar, salt, pepper, bread (for serving)","1. Dice onion and chop garlic. Cut tomatoes and peppers into chunks. 2. Heat oil in a pan, sauté onion until translucent. Add garlic and paprika, cook briefly. 3. Add peppers, cook for 10 min. Add tomatoes, sugar, salt, pepper. 4. Simmer for 20 min until thickened. Serve with bread.","weeknight dinner, vegetarian, salty, vegan, side, main, veganuary, lactose free, gluten free, comfort food, Hungarian, spices, Meatless, light, savory, vegetables, spring, autumn, summer, sauteing"
French toasted bagel with strawberries and pistachios,"Tired of the same old French toast? It's time to upgrade with this bagel version that's crispy on the outside, soft on the inside, and perfect for soaking up all that eggy, cinnamon goodness. What makes this recipe special is the combination of textures and flavors: The chewy bagel, the creamy mascarpone, the juicy strawberries, and the crunchy pistachios create a harmony that's simply irresistible. You can easily customize this recipe by swapping strawberries for other berries or even caramelized bananas. If you don't have mascarpone, cream cheese or ricotta work just as well. For an extra indulgent touch, drizzle some maple syrup or honey on top right before serving. This French toasted bagel is perfect for a leisurely weekend breakfast or brunch, and it's fancy enough to impress guests but simple enough to whip up on a lazy Sunday morning.",Easy 👌,10 min,10 min,2 portions,"2 bagels, 2 eggs, 100ml milk, 1 tsp cinnamon, 1 tsp vanilla extract, 150g strawberries, 30g pistachios, 100g mascarpone, 2 tbsp butter, maple syrup (for serving)","1. Halve bagels. Whisk eggs, milk, cinnamon and vanilla. 2. Slice strawberries and chop pistachios. 3. Dip bagel halves in egg mixture. Melt butter in pan and fry bagels until golden on both sides. 4. Spread mascarpone on bagels, top with strawberries and pistachios. Drizzle with maple syrup.","side, breakfast, vegetarian, nuts, main, eggs, brunch, fruits, for two, frying, dairy, spring, summer"
Red cabbage hash browns with kale and garlic mushrooms,"If you've never had red cabbage hash browns, you're in for a treat. These beauties are crispy on the outside, tender on the inside, and absolutely bursting with flavor. Red cabbage might seem like an unusual choice for hash browns, but once you try it, there's no going back. The natural sweetness of the cabbage caramelizes beautifully, and when paired with earthy kale and umami-packed garlic mushrooms, this becomes a meal you'll want to make again and again. I love serving these for brunch, but they also make an excellent light dinner. You can easily customize the recipe by adding a fried egg on top or sprinkling some crumbled feta over the mushrooms for a tangy kick. If you're meal-prepping, the hash browns reheat wonderfully in a pan or air fryer, getting crispy all over again. Pro tip: Don't skip the step of squeezing out excess moisture from the cabbage – that's the secret to achieving that perfect golden crust!",Medium 👍,20 min,15 min,2 portions,"300g red cabbage, 150g potatoes, 1 egg, 2 tbsp flour, 200g mushrooms, 100g kale, 3 cloves garlic, 4 tbsp olive oil, salt, pepper, sour cream (for serving)","1. Grate red cabbage and potatoes. Squeeze out excess moisture. Mix with egg, flour, salt and pepper. 2. Heat 2 tbsp oil in pan. Form cabbage mixture into patties and fry until golden and crispy on both sides. 3. Slice mushrooms, chop kale and garlic. Heat remaining oil, sauté garlic briefly. Add mushrooms and kale, cook until tender. Season with salt and pepper. 4. Serve hash browns topped with mushroom-kale mixture and sour cream.","weeknight dinner, vegetarian, side, main, prepare ahead, comfort food, brunch, Meatless, savory, for two, frying, eggs, dairy, herbs, vegetables, autumn, winter"
Hearty barley risotto with mushrooms and thyme,"If you think risotto can only be made with rice, this hearty barley version will change your mind! Swapping Arborio rice for barley gives this dish a wonderfully nutty flavor and a satisfying, chewy texture that feels even more comforting. Plus, barley is packed with fiber and nutrients, making this risotto as wholesome as it is delicious. The earthy mushrooms and fragrant thyme add layers of flavor that make every bite feel like a warm hug. This recipe is perfect for a cozy dinner at home, especially during the colder months. You can easily customize it by adding other vegetables like peas, spinach, or roasted butternut squash. For a vegan version, simply skip the Parmesan or use a plant-based alternative. The key to a great risotto is patience – stir frequently and add the broth gradually to let the barley release its starches and create that signature creamy texture. Serve it with a crisp green salad and a glass of white wine for the ultimate comfort meal.",Medium 👍,15 min,40 min,4 portions,"200g pearl barley, 300g mushrooms, 1 onion, 2 cloves garlic, 4 sprigs thyme, 1L vegetable stock, 100ml white wine, 50g Parmesan cheese, 2 tbsp butter, 3 tbsp olive oil, salt, pepper","1. Dice onion and chop garlic. Slice mushrooms. Strip thyme leaves. 2. Heat olive oil in large pan, sauté onion until translucent. Add garlic and mushrooms, cook until browned. 3. Add barley and thyme, toast briefly. Add wine and cook until absorbed. 4. Gradually add hot stock, stirring frequently, until barley is tender and creamy (35-40 min). 5. Stir in butter and Parmesan. Season with salt and pepper. Serve hot.","weeknight dinner, vegetarian, main, comfort food, alcohol, Meatless, savory, for four, grains, dairy, herbs, vegetables, autumn, winter"
Paprika chicken thighs with roasted vegetables,"Paprika chicken thighs with roasted vegetables is your new go-to dinner for busy weeknights. Everything roasts together on one sheet pan, meaning minimal cleanup and maximum flavor. The chicken thighs get wonderfully crispy on the outside while staying juicy inside, thanks to the paprika rub that adds a smoky, slightly sweet kick. The vegetables caramelize beautifully, soaking up all those delicious chicken juices. You can easily swap the vegetables based on what you have on hand – try adding bell peppers, zucchini, or even sweet potatoes. For a spicier version, add a pinch of cayenne pepper to the paprika mix. If you want to prep ahead, you can marinate the chicken in the spice rub overnight for even more intense flavor. Serve this with crusty bread, rice, or a simple green salad for a complete meal. Leftovers (if there are any!) make fantastic sandwiches or salads the next day.",Easy 👌,15 min,35 min,4 portions,"8 chicken thighs, 2 bell peppers, 2 zucchini, 1 red onion, 2 tbsp paprika, 1 tsp garlic powder, 4 tbsp olive oil, salt, pepper, fresh herbs (for serving)","1. Preheat oven to 200°C/400°F. Mix paprika, garlic powder, salt, pepper and 2 tbsp olive oil. Rub onto chicken thighs. 2. Cut peppers, zucchini and onion into chunks. Toss with remaining olive oil, salt and pepper. 3. Arrange chicken and vegetables on baking sheet. 4. Roast for 35 min until chicken is cooked through and vegetables are tender. Garnish with fresh herbs.","roasting, weeknight dinner, salty, spicy, main, comfort food, poultry, chicken, spices, savory, for four, vegetables, spring, autumn, summer, winter, oven"
Creamy one-pot French onion pasta,"Imagine all the flavors of French onion soup but in a comforting, creamy pasta form – that's what you get with this one-pot wonder! The secret is slowly caramelizing the onions until they're sweet, jammy, and deeply flavorful. Combined with tender pasta, a splash of wine, and a generous helping of Gruyère cheese, this dish is pure comfort food magic. The best part? Everything cooks in one pot, which means less cleanup and more time to enjoy your meal. This recipe is perfect for a cozy night in, especially during the fall and winter months. You can customize it by adding mushrooms, fresh thyme, or even a handful of spinach at the end. For an extra indulgent touch, top it with crispy fried onions or a drizzle of truffle oil. The key to success here is patience – don't rush the caramelization process, as that's where all the magic happens. Serve with a simple green salad and a glass of the same wine you used for cooking.",Medium 👍,10 min,40 min,4 portions,"3 large onions, 3 cloves garlic, 350g pasta, 100ml white wine, 500ml vegetable stock, 200ml heavy cream, 150g Gruyère cheese, 3 tbsp butter, 2 tbsp flour, salt, pepper, fresh thyme (for garnish)","1. Thinly slice onions and chop garlic. Melt butter in large pot, add onions and cook slowly for 25-30 min until caramelized. 2. Add garlic and flour, cook for 1 min. Add wine and cook until reduced. 3. Add stock and pasta, bring to boil. Cook until pasta is al dente, stirring occasionally. 4. Stir in cream and grated Gruyère until melted. Season with salt and pepper. Garnish with fresh thyme.","weeknight dinner, main, cheese, pasta, comfort food, alcohol, french, savory, for four, dairy, herbs, winter, autumn"
Whole roasted broccoli with bean hummus and sumac butter,"Forget everything you know about boring broccoli – this whole roasted version is a showstopper! Roasting the broccoli whole creates an incredible contrast of textures: crispy, charred florets on the outside and tender, almost creamy stems on the inside. The bean hummus adds a creamy, protein-packed base, while the sumac butter brings a tangy, citrusy note that ties everything together beautifully. This dish is perfect as a vegetarian main course or as a stunning side dish for dinner parties. You can easily swap the white bean hummus for chickpea hummus or even a tahini sauce. If you can't find sumac, lemon zest mixed into the butter works wonderfully as well. For extra flavor, try marinating the broccoli in olive oil, garlic, and lemon juice for 30 minutes before roasting. This recipe proves that vegetables can absolutely be the star of the show – and your guests will be asking for seconds!",Easy 👌,10 min,25 min,2 portions,"1 large broccoli, 400g white beans, 2 tbsp tahini, 2 cloves garlic, juice of 1 lemon, 50g butter, 1 tsp sumac, 3 tbsp olive oil, salt, pepper","1. Preheat oven to 220°C/425°F. Trim broccoli stem, brush with olive oil, season with salt and pepper. 2. Roast broccoli for 20-25 min until charred and tender. 3. Meanwhile, blend white beans, tahini, garlic, lemon juice, salt and pepper until smooth. Add water if needed. 4. Melt butter and stir in sumac. 5. Spread hummus on serving plate, place roasted broccoli on top, drizzle with sumac butter.","roasting, vegetarian, side, main, Meatless, light, savory, for two, dairy, vegetables, spring, autumn, summer, winter, oven"
Mediterranean cabbage rolls with lentil zucchini filling,"Cabbage rolls get a Mediterranean makeover in this fresh, flavorful recipe! Instead of the traditional meat filling, these rolls are packed with protein-rich lentils, tender zucchini, and aromatic herbs that transport you straight to the sunny shores of Greece or Italy. The cabbage leaves become wonderfully tender as they bake in a rich tomato sauce, soaking up all those delicious flavors. This recipe is perfect for meal prep – you can make a big batch and freeze them for easy weeknight dinners. They also taste even better the next day when the flavors have had time to meld. You can customize the filling by adding mushrooms, spinach, or even some crumbled feta for extra richness. If you want to save time, you can use pre-cooked lentils from a can. These cabbage rolls are not only delicious but also incredibly wholesome and satisfying – proof that plant-based meals can be just as comforting as their meaty counterparts. Serve with crusty bread and a simple side salad for a complete meal.",Medium 👍,30 min,35 min,4 portions,"1 large cabbage, 200g lentils, 2 zucchini, 1 onion, 3 cloves garlic, 400g canned tomatoes, 2 tbsp tomato paste, 100ml vegetable stock, 1 tsp oregano, 1 tsp basil, 3 tbsp olive oil, salt, pepper","1. Cook lentils according to package instructions. Remove 8-10 large cabbage leaves, blanch in boiling water for 3 min. 2. Dice zucchini, onion and garlic. Sauté in olive oil until soft. Mix with cooked lentils, half the herbs, salt and pepper. 3. Place filling on cabbage leaves and roll up, tucking in sides. 4. Mix tomatoes, tomato paste, stock and remaining herbs. Pour half into baking dish, arrange cabbage rolls on top, pour remaining sauce over. 5. Cover and bake at 180°C/350°F for 35 min.","baking, middle eastern, weeknight dinner, vegetarian, main, prepare ahead, comfort food, Meatless, savory, for four, grains, herbs, vegetables, autumn, winter, oven"
