title,description,difficulty,prep_time,cook_time,servings,ingredients,instructions,calories,protein,fats,carbs,tags,source_url
"Garlic Butter Pasta","Simple pasta tossed with garlic-infused butter and parmesan cheese. Perfect for a quick weeknight dinner.","easy",5,10,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""linguine"",""fettuccine"",""penne""]},{""name"":""butter"",""amount"":""60"",""unit"":""g"",""category"":""important"",""substitutes"":[""olive oil""]},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[""pecorino romano""],""notes"":""grated""},{""name"":""garlic"",""amount"":""4"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""minced""},{""name"":""parsley"",""amount"":""2"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""basil""],""notes"":""fresh, chopped""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook spaghetti according to package instructions until al dente"",""Reserve 1 cup of pasta water before draining"",""In a large skillet, melt butter over medium heat"",""Add minced garlic and sauté for 1-2 minutes until fragrant"",""Add drained pasta to the skillet"",""Toss pasta with garlic butter, adding pasta water as needed"",""Stir in grated parmesan cheese"",""Season with salt and pepper"",""Garnish with fresh parsley and serve""]",420,14,18,52,"dinner,pasta,italian,quick,vegetarian","https://example.com/garlic-butter-pasta"
"Aglio e Olio","Classic Italian pasta with garlic, olive oil, and red pepper flakes. A simple yet flavorful dish.","easy",5,10,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""linguine"",""angel hair""]},{""name"":""garlic"",""amount"":""6"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""thinly sliced""},{""name"":""red pepper flakes"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[""cayenne""]},{""name"":""parsley"",""amount"":""3"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""basil""],""notes"":""fresh, chopped""},{""name"":""olive oil"",""amount"":""80"",""unit"":""ml"",""category"":""base"",""substitutes"":[]},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook spaghetti according to package instructions until al dente"",""Reserve 1 cup of pasta water before draining"",""Heat olive oil in a large skillet over medium heat"",""Add sliced garlic and sauté for 2 minutes until golden"",""Add red pepper flakes and cook for 30 seconds"",""Add drained pasta and toss to coat"",""Add pasta water as needed to create a light sauce"",""Stir in fresh parsley"",""Season with salt and pepper and serve""]",380,12,16,54,"dinner,pasta,italian,quick,vegan","https://example.com/aglio-e-olio"
"Cacio e Pepe","Roman pasta dish with pecorino cheese and black pepper. Creamy and peppery perfection.","easy",5,10,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""tonnarelli"",""linguine""]},{""name"":""pecorino romano"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[""parmesan""],""notes"":""finely grated""},{""name"":""black pepper"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""freshly ground""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook spaghetti according to package instructions until al dente"",""Reserve 2 cups of pasta water before draining"",""Toast black pepper in a large dry skillet for 1 minute"",""Add 1 cup of pasta water to the skillet"",""Add drained pasta and toss vigorously"",""Remove from heat and add grated pecorino cheese gradually"",""Toss continuously, adding more pasta water as needed"",""The cheese should melt and create a creamy sauce"",""Serve immediately with extra cheese and pepper""]",450,18,16,54,"dinner,pasta,italian,quick,vegetarian","https://example.com/cacio-e-pepe"
"Simple Marinara Spaghetti","Classic tomato sauce with garlic and basil over spaghetti. A timeless Italian favorite.","easy",5,20,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""penne"",""rigatoni""]},{""name"":""canned tomatoes"",""amount"":""800"",""unit"":""g"",""category"":""important"",""substitutes"":[""fresh tomatoes""],""notes"":""crushed""},{""name"":""garlic"",""amount"":""4"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""minced""},{""name"":""basil"",""amount"":""10"",""unit"":""pieces"",""category"":""flavor"",""substitutes"":[""oregano""],""notes"":""fresh leaves""},{""name"":""olive oil"",""amount"":""3"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[]},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil for pasta"",""Heat olive oil in a large saucepan over medium heat"",""Add minced garlic and sauté for 1 minute until fragrant"",""Add crushed tomatoes and stir well"",""Season with salt and pepper"",""Simmer sauce for 15-20 minutes, stirring occasionally"",""Meanwhile, cook spaghetti until al dente"",""Tear basil leaves and add to sauce"",""Drain pasta and toss with marinara sauce"",""Serve with extra basil and parmesan if desired""]",380,12,10,62,"dinner,pasta,italian,vegetarian,vegan","https://example.com/marinara-spaghetti"
"Pesto Pasta","Pasta coated in fresh basil pesto sauce. Aromatic and vibrant green.","easy",10,10,4,"[{""name"":""pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""any short pasta""]},{""name"":""basil pesto"",""amount"":""150"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""store-bought or homemade""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[""pecorino""],""notes"":""grated""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[]},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook pasta according to package instructions until al dente"",""Reserve 1 cup of pasta water before draining"",""Drain pasta and return to pot"",""Add pesto and toss to coat evenly"",""Add pasta water gradually to loosen sauce if needed"",""Drizzle with olive oil"",""Top with grated parmesan cheese"",""Season with salt if needed"",""Serve immediately""]",480,16,22,54,"dinner,pasta,italian,quick,vegetarian","https://example.com/pesto-pasta"
"Buttered Egg Noodles","Simple egg noodles tossed with butter and herbs. Comforting and easy.","easy",2,8,4,"[{""name"":""egg noodles"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""pasta"",""fettuccine""]},{""name"":""butter"",""amount"":""60"",""unit"":""g"",""category"":""important"",""substitutes"":[""olive oil""]},{""name"":""parsley"",""amount"":""2"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""chives""],""notes"":""fresh, chopped""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook egg noodles according to package instructions"",""Drain noodles well"",""Return noodles to pot"",""Add butter and toss until melted and coated"",""Stir in fresh parsley"",""Season with salt and pepper"",""Serve immediately as a side or main dish""]",380,12,16,48,"dinner,pasta,side,quick,vegetarian","https://example.com/buttered-egg-noodles"
"Mac and Cheese","Creamy macaroni and cheese with a rich cheese sauce. Classic comfort food.","easy",5,20,4,"[{""name"":""elbow macaroni"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""any pasta""]},{""name"":""cheddar cheese"",""amount"":""250"",""unit"":""g"",""category"":""important"",""substitutes"":[""gruyere"",""american cheese""],""notes"":""shredded""},{""name"":""milk"",""amount"":""500"",""unit"":""ml"",""category"":""important"",""substitutes"":[""cream""]},{""name"":""butter"",""amount"":""40"",""unit"":""g"",""category"":""important"",""substitutes"":[]},{""name"":""flour"",""amount"":""30"",""unit"":""g"",""category"":""base"",""substitutes"":[]},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook macaroni until al dente, drain and set aside"",""In the same pot, melt butter over medium heat"",""Whisk in flour to create a roux"",""Cook for 1-2 minutes, stirring constantly"",""Gradually whisk in milk"",""Cook until sauce thickens, about 5 minutes"",""Remove from heat and stir in shredded cheddar"",""Add cooked macaroni and stir to coat"",""Season with salt and pepper and serve""]",520,22,24,56,"dinner,pasta,comfort-food,vegetarian,cheese","https://example.com/mac-and-cheese"
"Lemon Parmesan Pasta","Light pasta with lemon zest, parmesan, and a touch of cream. Bright and refreshing.","easy",5,10,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""linguine"",""angel hair""]},{""name"":""parmesan cheese"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[""pecorino""],""notes"":""grated""},{""name"":""lemon"",""amount"":""2"",""unit"":""pieces"",""category"":""flavor"",""substitutes"":[""lime""],""notes"":""zest and juice""},{""name"":""heavy cream"",""amount"":""100"",""unit"":""ml"",""category"":""important"",""substitutes"":[""half and half""]},{""name"":""butter"",""amount"":""30"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""olive oil""]},{""name"":""parsley"",""amount"":""2"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""basil""],""notes"":""fresh""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook spaghetti until al dente"",""Reserve 1 cup pasta water before draining"",""In a large skillet, melt butter over medium heat"",""Add lemon zest and juice"",""Add cream and bring to a simmer"",""Add drained pasta and toss"",""Stir in parmesan cheese"",""Add pasta water if needed to loosen sauce"",""Garnish with parsley and serve""]",460,16,18,54,"dinner,pasta,italian,quick,vegetarian","https://example.com/lemon-parmesan-pasta"
"Tomato Basil Pasta","Fresh tomatoes, basil, and garlic tossed with pasta. Simple and summery.","easy",8,10,4,"[{""name"":""pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""any pasta""]},{""name"":""cherry tomatoes"",""amount"":""400"",""unit"":""g"",""category"":""important"",""substitutes"":[""diced tomatoes""],""notes"":""halved""},{""name"":""basil"",""amount"":""15"",""unit"":""pieces"",""category"":""flavor"",""substitutes"":[""parsley""],""notes"":""fresh leaves""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""minced""},{""name"":""olive oil"",""amount"":""60"",""unit"":""ml"",""category"":""base"",""substitutes"":[]},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook pasta until al dente"",""Meanwhile, heat olive oil in a large skillet"",""Add minced garlic and sauté for 1 minute"",""Add halved cherry tomatoes"",""Cook for 5-7 minutes until tomatoes soften"",""Drain pasta and add to skillet"",""Tear basil leaves and add to pasta"",""Toss everything together"",""Season with salt and pepper and serve""]",400,12,14,58,"dinner,pasta,italian,vegetarian,vegan,fresh","https://example.com/tomato-basil-pasta"
"Creamy Parmesan Pasta","Rich and creamy pasta with parmesan cheese. Indulgent and satisfying.","easy",5,15,4,"[{""name"":""fettuccine"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""penne"",""rigatoni""]},{""name"":""heavy cream"",""amount"":""400"",""unit"":""ml"",""category"":""important"",""substitutes"":[""half and half""]},{""name"":""parmesan cheese"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[""pecorino""],""notes"":""grated""},{""name"":""butter"",""amount"":""40"",""unit"":""g"",""category"":""flavor"",""substitutes"":[]},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""minced""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook fettuccine until al dente"",""Meanwhile, melt butter in a large skillet"",""Add minced garlic and sauté for 1 minute"",""Pour in heavy cream and bring to a simmer"",""Cook for 5-7 minutes until slightly thickened"",""Stir in grated parmesan cheese"",""Drain pasta and add to cream sauce"",""Toss to coat evenly"",""Season with salt and pepper and serve""]",580,18,32,54,"dinner,pasta,italian,creamy,vegetarian","https://example.com/creamy-parmesan-pasta"
"Pasta with Olive Oil and Herbs","Minimalist pasta with high-quality olive oil and fresh herbs. Simple elegance.","easy",5,10,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""any pasta""]},{""name"":""parsley"",""amount"":""4"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""basil""],""notes"":""fresh, chopped""},{""name"":""basil"",""amount"":""2"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""oregano""],""notes"":""fresh, chopped""},{""name"":""olive oil"",""amount"":""80"",""unit"":""ml"",""category"":""base"",""substitutes"":[],""notes"":""extra virgin""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook spaghetti until al dente"",""Reserve 1 cup pasta water before draining"",""Drain pasta and return to pot"",""Drizzle with olive oil and toss"",""Add chopped fresh herbs"",""Add a splash of pasta water to create a light coating"",""Season generously with salt and pepper"",""Serve immediately""]",420,12,18,54,"dinner,pasta,italian,quick,vegan,simple","https://example.com/pasta-olive-oil-herbs"
"Simple Carbonara","Classic Roman pasta with eggs, cheese, and crispy bacon. Creamy without cream.","easy",5,15,4,"[{""name"":""spaghetti"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""rigatoni"",""linguine""]},{""name"":""bacon"",""amount"":""200"",""unit"":""g"",""category"":""key"",""substitutes"":[""pancetta"",""guanciale""],""notes"":""diced""},{""name"":""eggs"",""amount"":""3"",""unit"":""pieces"",""category"":""important"",""substitutes"":[]},{""name"":""parmesan cheese"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[""pecorino""],""notes"":""grated""},{""name"":""black pepper"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""freshly ground""},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook spaghetti until al dente"",""Meanwhile, cook diced bacon in a skillet until crispy"",""In a bowl, whisk eggs with grated parmesan and black pepper"",""Reserve 2 cups pasta water before draining"",""Drain pasta and add to skillet with bacon"",""Remove from heat"",""Quickly stir in egg mixture, tossing constantly"",""Add pasta water gradually to create creamy sauce"",""Serve immediately with extra cheese and pepper""]",520,24,20,54,"dinner,pasta,italian,comfort-food","https://example.com/simple-carbonara"
"Pasta Primavera","Colorful pasta with fresh spring vegetables. Light and healthy.","easy",10,15,4,"[{""name"":""penne"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""fusilli"",""farfalle""]},{""name"":""broccoli"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[""green beans""],""notes"":""florets""},{""name"":""bell pepper"",""amount"":""1"",""unit"":""piece"",""category"":""important"",""substitutes"":[""zucchini""],""notes"":""sliced""},{""name"":""cherry tomatoes"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[""diced tomatoes""],""notes"":""halved""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""minced""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""pecorino""],""notes"":""grated""},{""name"":""olive oil"",""amount"":""3"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[]},{""name"":""salt"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]},{""name"":""black pepper"",""amount"":"""",""unit"":""to taste"",""category"":""base"",""substitutes"":[]}]","[""Bring a large pot of salted water to boil"",""Cook penne until al dente"",""In the last 3 minutes of cooking, add broccoli to pasta water"",""Meanwhile, heat olive oil in a large skillet"",""Sauté sliced bell pepper for 5 minutes"",""Add minced garlic and cherry tomatoes"",""Cook for 3-4 minutes"",""Drain pasta and broccoli"",""Add to skillet with vegetables and toss"",""Top with parmesan, season, and serve""]",420,14,12,62,"dinner,pasta,vegetarian,healthy,vegetables","https://example.com/pasta-primavera"
