title,description,difficulty,prep_time,cook_time,servings,ingredients,instructions,calories,protein,fats,carbs,tags,source_url
"Braised large shrimp","A delicious recipe for braised large shrimp, perfect as a main dish or starter.","easy",25,0,4,"[{""name"":""large shrimp (12 – 15, unpeeled)"",""amount"":""300"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""ginger"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""1"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""spring onions"",""amount"":""10"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""red wine"",""amount"":""3"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""soy sauce (light)"",""amount"":""2"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""soy sauce (dark)"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""potato starch"",""amount"":""1"",""unit"":""tsp"",""category"":""important"",""substitutes"":[""cornstarch""],""notes"":""""},{""name"":""water"",""amount"":""170"",""unit"":""ml"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""sugar"",""amount"":""½"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":""⅓"",""unit"":""tsp"",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Finely chop garlic. Cut ginger and spring onion into thin strips."",""Heat some vegetable oil in a frying pan over medium heat. Add shrimp and sauté for approx. 1 min. on each side until red."",""Add garlic, ginger, and spring onions to the pan. Deglaze with red wine. Season with salt and sugar. Then, add light and dark soy sauce."",""Add parts of the water. Bring to a simmer, cover, and allow to cook on low-medium heat for approx. 3 – 4 min."",""Dissolve starch in the remaining water. Mix well to avoid lumps and stir into the sauce. Return to a simmer and immediately remove from heat. Enjoy!""]",122,15,4,3,"chinese,seafood,shrimp,main","https://www.kitchenstories.com/en/recipes/braised-large-shrimp"
"One-pot pasta with orzo and shrimp","A quick and easy one-pot meal featuring orzo and shrimp, perfect for a weeknight dinner.","easy",30,5,2,"[{""name"":""orzo"",""amount"":""100"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""shrimp"",""amount"":""6"",""unit"":"""",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""vegetable stock"",""amount"":""250"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""parsley"",""amount"":""10"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""lemon"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""zest""},{""name"":""Parmesan"",""amount"":""30"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Preheat oven to 170°C/350°F. Mince garlic. Roughly chop parsley."",""In a frying pan, sauté garlic and orzo in some vegetable oil over medium heat for approx. 3 – 5 min. Season with salt and pepper."",""Deglaze pan with some of the stock and simmer until liquid is absorbed. Now, incrementally add rest of stock to pan and sauté for approx. 10 – 15 min. until al dente."",""Add shrimp to pan and season with salt and pepper. Cover pan with a lid and place in the oven for approx. 5 min. at 170°C/350°F."",""Garnish with parsley, lemon zest, and Parmesan. Enjoy!""]",263,10,14,25,"one-pot,pasta,seafood,shrimp,main","https://www.kitchenstories.com/en/recipes/one-pot-pasta-with-orzo-and-shrimp"
"Marinated shrimp with mango salsa","Grilled shrimp skewers with fresh mango salsa.","easy",20,0,3,"[{""name"":""shrimp (ready to cook)"",""amount"":""9"",""unit"":"""",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""lemongrass"",""amount"":""3"",""unit"":""stalks"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""rosemary"",""amount"":""1"",""unit"":""sprig"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""thyme"",""amount"":""1"",""unit"":""sprig"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""1"",""unit"":""clove"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""mango"",""amount"":""½"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""cilantro"",""amount"":""10"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""3"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Preheat the grill. Peel garlic, remove green sprout, and finely chop with rosemary and thyme leaves."",""In a resealable bag, marinate shrimp in olive oil, chopped rosemary, thyme, garlic, salt and pepper. Chill for approx. 10 min."",""In the meantime, finely dice mango and chop cilantro."",""Mix diced mango with chopped cilantro and season with salt and pepper to taste."",""Remove marinated shrimp from the fridge and skewer 3 shrimp on each lemongrass stalk."",""Grill the skewers on each side for approx. 2 – 3 min. until the shrimp are opaque throughout. Season with salt and pepper. Top with mango salsa to serve.""]",154,6,11,9,"shrimp,grilled,tropical,main","https://www.kitchenstories.com/en/recipes/marinated-shrimp-with-mango-salsa"
"5-ingredient easy shrimp alfredo","This dish is so tasty, easy, and comforting. Creamy alfredo pasta with shrimp.","easy",30,0,2,"[{""name"":""shrimp"",""amount"":""250"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""tagliatelle"",""amount"":""300"",""unit"":""g"",""category"":""key"",""substitutes"":[""fettuccine""],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""Parmesan cheese"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""heavy cream"",""amount"":""100"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""3"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""unsalted butter"",""amount"":""3"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Peel and mince garlic and finely grate Parmesan cheese. Shell and devein shrimp, then pat dry with paper towels if necessary."",""Set a large frying pan over high heat. Add half of the olive oil. Add shrimp to the pan, season with salt and pepper, and cook for approx. 1 min. per side (or until shrimp turned completely pink and have curled up). Remove shrimp from the pan and set aside. Lower the heat to medium and add remaining olive oil and butter to the same frying pan. Add garlic and fry for approx. 2 min. Add heavy cream, stir until fully combined. Add a handful of Parmesan cheese, stir well, and add another handful. Repeat until all the cheese is mixed into the sauce. When you have a smooth sauce, add the shrimp and lower the heat, then season liberally with pepper."",""Cook tagliatelle for approx. 6 min., or until al dente, in a large pot of boiling, salted water."",""Transfer tagliatelle along with some pasta water to the large frying pan and mix everything until fully combined and creamy, adding more pasta water as needed. Garnish with chopped parsley, serve, and enjoy!""]",1354,56,73,118,"pasta,shrimp,alfredo,main,comfort-food","https://www.kitchenstories.com/en/recipes/5-ingredient-easy-shrimp-alfredo"
"Steamed mussels with shrimp and garlic bread","Steamed mussels and shrimp in white wine broth.","easy",20,7,2,"[{""name"":""mussels"",""amount"":""700"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""shrimp"",""amount"":""200"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""fennel"",""amount"":""1"",""unit"":""bulb"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""carrot"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""shallots"",""amount"":""2"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""white wine"",""amount"":""150"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""bay leaf"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""thyme"",""amount"":""1"",""unit"":""sprig"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""parsley"",""amount"":""10"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""lemon"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Peel, crush, and roughly chop the garlic cloves. Finely dice the fennel, carrots, and shallots."",""Sear the shrimp in a hot saucepan with some olive oil and the roughly chopped garlic. Season with salt and pepper, then remove from the saucepan."",""Sauté the diced vegetables in the same saucepan and season with salt and pepper. Add a small amount of olive oil if required."",""Add mussels and, again, season with salt and pepper. Deglaze pan with white wine and add bay leaf and sprig of thyme. Put the lid on for approx. 5-7 minutes to allow the mussels to open in the steam."",""Meanwhile, chop parsley and cut lemon into wedges. As soon as the mussels have opened, fold in the parsley, put the shrimp back in the saucepan, and place the lemon wedges on top. Serve in stock.""]",265,31,5,9,"mussels,shrimp,seafood,french,main","https://www.kitchenstories.com/en/recipes/steamed-mussels-with-shrimp-and-garlic-bread"
"Crispy salmon rice bowl","Ultra crispy salmon skin bowl with fresh vegetables.","easy",30,0,2,"[{""name"":""salmon fillets (skin-on)"",""amount"":""2"",""unit"":""pieces"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""jasmine rice"",""amount"":""150"",""unit"":""g"",""category"":""important"",""substitutes"":[""basmati rice""],""notes"":""""},{""name"":""cucumber"",""amount"":""1"",""unit"":""piece"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""carrot"",""amount"":""1"",""unit"":""piece"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""scallion"",""amount"":""1"",""unit"":""piece"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""avocado"",""amount"":""1"",""unit"":""piece"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""soy sauce"",""amount"":""3"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""honey"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""black sesame seeds"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Pat salmon skin dry with paper towels, removing as much moisture as possible. Prepare rice according to package instructions, season with some soy sauce and set aside."",""Prepare vegetables for the bowl. Use a vegetable peeler to create long ribbons of cucumber and julienne the carrot. Slice avocado and spring onion. Mix remaining soy sauce with honey and set aside."",""Season salmon with salt on all sides. Add olive oil to a cold pan, then place your salmon skin side down and turn the heat to high. Use a spatula to press the fillet down to ensure full skin contact with the pan. Cook until ¾ cooked through, approx 5-7 min., depending on the thickness of the fillet. Then flip to finish on the other side for approx. 1 min. further. Remove from the pan to rest for a few min."",""In a bowl, add a layer of rice, then assemble the vegetable ingredients, followed by the salmon fillet. Drizzle honey-soy mix and a sprinkling of black sesame.""]",1406,92,77,85,"salmon,rice-bowl,asian,healthy,main","https://www.kitchenstories.com/en/recipes/crispy-salmon-rice-bowl"
"Perfectly grilled salmon fillet","Perfectly grilled salmon every single time. Juicy, smokey, melt-in-your-mouth tender!","easy",30,10,4,"[{""name"":""salmon fillets (skin-on)"",""amount"":""500"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":""1"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""sugar"",""amount"":""1"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""sunflower oil"",""amount"":""1"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""In a large bowl, mix seasoning with salt and sugar. Carefully pat dry the salmon fillets with paper towels."",""Place salmon fillets in the bowl and rub evenly with the seasoning mix. Let them rest covered at room temperature for approx. 30 min."",""Heat grill pan or grill, add oil and heat over medium-high heat. Place the salmon skin-side on the grill and grill for approx. 4–5 min. depending on the thickness. Then carefully turn and grill the other side for approx. 4 min. and serve.""]",309,26,20,5,"salmon,grilled,simple,main","https://www.kitchenstories.com/en/recipes/perfectly-grilled-salmon-fillet"
"Thai green curry with shrimp","A delicious and spicy Thai green curry featuring shrimp and a variety of fresh vegetables.","medium",40,15,2,"[{""name"":""shrimp (ready to cook)"",""amount"":""300"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""eggplant"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""bok choy"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""spinach"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""soybean sprouts"",""amount"":""150"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""coconut milk"",""amount"":""400"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""vegetable stock"",""amount"":""300"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""ginger (peeled)"",""amount"":""20"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""cilantro"",""amount"":""20"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""chili pepper (green)"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""turmeric"",""amount"":""3"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""mustard seeds"",""amount"":""3"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""cumin"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""limes"",""amount"":""2"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""}]","[""Puree mustard seeds, cumin, ginger, garlic, cilantro, turmeric, and chili pepper in a food processor until an even consistency is achieved."",""Cut eggplant into cubes (approx. 1 cm x 1 cm). Slice spinach and bok choy."",""Add vegetable oil to your hot pan and fry cubed eggplant for approx. 8 – 10 min. until well-browned and softened."",""Add prepared curry paste and fry for approx. 2 – 3 min. to build intense flavor."",""Add coconut milk, lemon grass, bok choy, and soybean sprouts. Allow sauce to reduce over medium-high heat until slightly thickened. Stir occasionally."",""Add vegetable stock and bring to a boil. Add shrimp and cook for approx. 4 – 5 min. on medium-high heat until they are opaque throughout."",""In the meantime, cut limes into wedges and pick cilantro leaves from sprig."",""Now, add spinach to the curry and simmer for approx. 2 – 3 min. until wilted. Season to taste with salt and pepper. Serve on some rice topped with lime and cilantro leaves.""]",914,60,55,46,"thai,curry,shrimp,spicy,main","https://www.kitchenstories.com/en/recipes/thai-green-curry-with-shrimp"
"Fish tacos with grapefruit salsa","Light, fresh fish tacos with zingy grapefruit salsa.","easy",35,0,2,"[{""name"":""white fish fillet"",""amount"":""800"",""unit"":""g"",""category"":""key"",""substitutes"":[""cod"",""halibut""],""notes"":""""},{""name"":""corn tortillas"",""amount"":""8"",""unit"":"""",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""avocado"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""mango"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""grapefruit"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""red onion"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""cilantro"",""amount"":""20"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""crème fraîche"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[""sour cream""],""notes"":""""},{""name"":""lime"",""amount"":""½"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""flour"",""amount"":""60"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""cayenne pepper"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""ground ginger"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""ground coriander"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Halve, pit, and finely dice avocado. Peel mango, remove core, and dice. Peel and finely dice red onion. Wash, then dry and chop cilantro. Halve grapefruit and slice along sides of membranes to separate segments. Collect some of the grapefruit juice and set aside."",""Add diced avocado, mango, red onion, cilantro, grapefruit, salt, sunflower oil, grapefruit juice to taste, and chili flakes to a bowl and stir to combine. Set salsa aside. Zest and juice lime. For the dip, add crème fraîche, lime zest, and lime juice to a second bowl and stir to combine. Season with salt and pepper to taste. Set aside."",""Cut fish fillet into approx. 5-cm/2-in. thick chunks. Add flour, cayenne pepper, ground ginger, and coriander to a small bowl and stir to combine. Add cut fish filets one by one and toss to coat. Heat oil in a frying pan over medium heat and fry coated fish filets from all sides for approx. 2 – 3 min. until crispy. Remove from pan and let drain on a paper-towel lined plate."",""Heat a dry frying pan over medium heat and toast each tortilla on both sides for approx. 20 – 30 sec. For serving, spread some crème fraîche mixture on a corn tortilla. Place some fried fish fillets on each tortilla and top with grapefruit salsa. Serve with lime wedges, if desired.""]",1390,91,72,102,"fish,tacos,mexican,main","https://www.kitchenstories.com/en/recipes/fish-tacos-with-grapefruit-salsa"
"Sardine pasta with olives and garlicky breadcrumbs","Super quick pasta with canned sardines and olives, topped with crispy garlicky breadcrumbs.","easy",15,15,2,"[{""name"":""spaghetti"",""amount"":""200"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""oil-packed sardines"",""amount"":""100"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""jarred pitted green olives"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""lemon"",""amount"":""½"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""parsley (frozen)"",""amount"":""15"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""1"",""unit"":""clove"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""breadcrumbs"",""amount"":""40"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""chili flakes"",""amount"":""½"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""tomato paste"",""amount"":""2"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""butter"",""amount"":""1"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Drain the sardines, reserving the oil. Zest and juice lemon. Halve olives. Coarsely chop parsley and set some aside for garnishing. Finely grate garlic."",""Cook pasta according to package instructions, reserving about 250 ml of pasta water when draining. Meanwhile, heat some oil in a pan, add breadcrumbs and grated garlic, and fry for approx. 3–5 min. until golden brown. Remove from the pan and place in a small bowl, season with salt and pepper and mix with lemon zest, parsley and chili flakes."",""Heat reserved oil from the sardines and the remaining vegetable oil in the previously used pan. Add tomato paste and roast for approx. 1–2 min. Add sardines and mix. Add butter, olives, lemon juice, pasta and the pasta water and mix vigorously over medium-high heat until a glossy sauce forms. Serve with remaining parsley and the breadcrumb topping.""]",726,30,25,95,"pasta,sardines,italian,main","https://www.kitchenstories.com/en/recipes/sardine-pasta-with-olives-and-garlicky-breadcrumbs"
