Recipe Name,URL,Difficulty,Prep Time,Cook Time,Rest Time,Servings,Rating Count,Saves,Cal,Description,Ingredients,Instructions,Nutrition,Tags
Crispy vegan rice paper dumplings,https://www.kitchenstories.com/en/recipes/crispy-vegan-rice-paper-dumplings,Easy 😊,40 min,0 min,0 min,2,35,12.5k,170,Based on 35 ratings,"4 sheets rice paper wrappers, 66⅔ g firm tofu, ⅓ carrot, 33⅓ g button mushrooms, 3⅓ g ginger, ⅓ clove garlic, ⅔ tbsp sesame oil, ⅓ tbsp soy sauce, salt, pepper, spicy chili crisp (for serving)","Drain and crumble tofu into a bowl. Peel and julienne carrot. Chop mushrooms finely. Peel and mince ginger and garlic. Add half the sesame oil to a frying pan over medium heat. Add mushrooms and sauté until cooked and dry, approximately 5 minutes. Add carrots, ginger, and garlic and sauté until fragrant. Add tofu and cook until starting to brown, approximately 7 minutes. Add soy sauce and season with salt and pepper to taste. Transfer filling to a bowl and set aside. Wipe out the pan for frying the dumplings. Add warm water to a rimmed plate. Dip a rice paper wrapper into water briefly and transfer to a cutting board. Add approximately 2 tbsp filling to the center, fold four edges over to create a rectangle-shaped dumpling. Set aside. Dip another wrapper, place the wrapped dumpling in the center, and fold again. Repeat with remaining wrappers and filling. Add remaining sesame oil to the frying pan over medium heat. Pan-fry dumplings until crispy on both sides, approximately 8 minutes total. Serve immediately with chili crisp for dipping.","Cal 170, Fat 8 g, Protein 6 g, Carb 21 g","asian,vegan,vegetarian,meatless,lactose-free,weeknight dinner,crowd pleaser,for two"
Roasted aubergine and walnut ragù,https://www.kitchenstories.com/en/recipes/roasted-aubergine-and-walnut-ragu,Medium 😐,30 min,45 min,0 min,4,3,631,721,Based on 3 ratings,"100 g walnuts, 2 eggplants, 1 carrot, 1 onion, 2 stalks celery, 3 cloves garlic, 1 bay leaf, 2 tbsp tomato paste, 100 ml red wine, 400 ml passata, 200 g green lentils, 1 tbsp miso paste, 400 g pappardelle, olive oil, salt, pepper","Preheat oven to 220°C/425°F. Chop eggplants into cubes, toss with olive oil, salt and pepper and roast for 30 minutes. Toast walnuts in a dry pan then chop coarsely. Dice carrot, onion, celery and mince garlic. Sauté vegetables in olive oil for 5-7 minutes. Add bay leaf and tomato paste, cook 2 minutes. Deglaze with red wine and let reduce. Add passata and cooked lentils, simmer 15 minutes. Stir in roasted eggplant, walnuts and miso. Cook pappardelle until al dente and mix with ragù.","Cal 721, Fat 16 g, Protein 26 g, Carb 99 g","italian,vegetarian,vegan,roasting,pasta,main"
One-pot creamy chickpea and spinach curry,https://www.kitchenstories.com/en/recipes/one-pot-creamy-chickpea-and-spinach-curry,Easy 😊,30 min,0 min,0 min,4,146,0,381,Based on 146 ratings,"2 cans chickpeas, 200 g spinach, 1 onion, 3 cloves garlic, 20 g ginger, 1 red chili, 1 lemon, 2 tsp turmeric, 2 tsp garam masala, 400 ml coconut milk, salt, pepper","Dice onion, mince garlic and ginger, slice chili. Sauté onion in oil until translucent. Add garlic, ginger, chili and spices, cook 1 minute. Add chickpeas and coconut milk, simmer 10 minutes. Stir in spinach and lemon juice, cook until wilted. Season with salt and pepper.","Cal 381, Fat 30 g, Protein 9 g, Carb 26 g","vegetarian,vegan,gluten-free,one-pot,main course,indian,curry"
Creamy pumpkin curry udon,https://www.kitchenstories.com/en/recipes/creamy-pumpkin-curry-udon,Easy 😊,30 min,0 min,0 min,2,33,6k,1285,Based on 33 ratings,"400 g udon noodles, 750 g Hokkaido pumpkin, 2 scallions, 1 clove garlic, 10 g ginger, 1 tbsp curry powder, 200 ml vegetable broth, 200 ml coconut milk, 1½ tbsp white miso paste, 50 g baby spinach, 1 lime, vegetable oil, black sesame seeds, chili","Peel and finely chop garlic and ginger. Slice scallions. Cut pumpkin into small cubes. Add oil to pot; fry ginger, garlic, and white scallion parts until translucent. Add pumpkin and fry 5 minutes. Add curry powder and fry briefly, then deglaze with vegetable stock and coconut milk. Simmer 7 minutes until pumpkin is soft. Puree briefly so sauce becomes creamy but pumpkin cubes remain. Add miso and stir until dissolved. Add udon noodles and gently separate while heating 3 minutes. Season with lime juice. Add spinach and let wilt. Divide into bowls and sprinkle with green scallion rings, black sesame, and chili.","Cal 1285, Fat 39 g, Protein 35 g, Carb 208 g","asian,main,noodles,vegetarian,vegan,lactose-free,weeknight dinner,comfort food,one pot"
Butternut squash Wellington,https://www.kitchenstories.com/en/recipes/butternut-squash-wellington,Medium 😐,30 min,80 min,0 min,6,4,0,500,Based on 4 ratings,"1 butternut squash, 33 g walnuts, 100 g button mushrooms, 267 g baby spinach, 1 shallot, 1 clove garlic, 10 g thyme, 10 g rosemary, 10 g sage, 1 tbsp soy sauce, 1 puff pastry sheet, 1 tbsp Dijon mustard, 1 tbsp butter, 1 tbsp olive oil, plant-based milk, salt, pepper","Preheat oven to 200°C. Halve, deseed and peel butternut squash; cube the cavity part. Season with salt, pepper, and olive oil. Roast for 30 minutes. Dice shallots, mince garlic, slice mushrooms. Add walnuts to baking sheet after 30 minutes; roast 5 minutes more. Heat butter and olive oil; sauté shallots until translucent. Add mushrooms and fry 10 minutes until browned. Add garlic, thyme, sage, and rosemary; fry 3 minutes. Add soy sauce and simmer until liquid evaporates. Blend fried mushrooms, roasted squash cubes, walnuts, and Dijon mustard. Blanch spinach, rinse with cold water, and squeeze dry. Roll out puff pastry. Spread half the mushroom mixture, layer spinach, place roasted pumpkin halves cut-side down. Cover with remaining mushroom mixture. Top with second puff pastry sheet, press gently. Trim excess, cut into strips, arrange decoratively. Brush with plant-based milk. Bake at 200°C for 50 minutes. Rest briefly, slice, and serve.","Cal 500, Fat 36 g, Protein 15 g, Carb 42 g","british,main,vegan,vegetarian,lactose-free,christmas,dinner party,roasting,baking"
Red cabbage hash browns with kale and garlic mushrooms,https://www.kitchenstories.com/en/recipes/red-cabbage-hash-browns-with-kale-and-garlic-mushrooms,Medium 😐,35 min,20 min,0 min,4,0,293,525,Wintery red cabbage hash browns,"200 g red cabbage, 50 g potatoes, 1 egg, 2 tbsp flour, 1.5 tbsp oil, 1 pinch nutmeg, salt, pepper, ½ onion, 40 g kale, 75 ml heavy cream, 0.5 tbsp oil, 1 pinch nutmeg, 150 g mixed mushrooms, 1 clove garlic, 1 tbsp butter, parsley","Preheat oven to 200°C. Shred red cabbage finely. Peel and grate potatoes. Chop onion, garlic, and kale. Cut mushrooms. Mix red cabbage and potato with eggs, flour, salt, pepper, and nutmeg. Spoon onto baking sheet. Drizzle with oil and bake 20 minutes, flipping halfway. Heat oil, sauté onion until translucent, add kale and cook 5-7 minutes. Stir in cream and cook until creamy. Season with nutmeg, salt, and pepper. Heat oil, add mushrooms, fry 5-8 minutes. Add butter and garlic, sauté briefly. Season. Serve hash browns with creamy kale, mushrooms, and parsley.","Cal 525, Fat 49 g, Protein 8 g, Carb 30 g","main,side,vegetarian,comfort food,baking,roasting,frying,autumn,winter"
Savoy cabbage carbonara with chestnut,https://www.kitchenstories.com/en/recipes/savoy-cabbage-carbonara-with-chestnut,Medium 😐,30 min,10 min,0 min,4,3,641,720,Based on 3 ratings,"500 g spaghetti, 200 g savoy cabbage, 150 g chestnuts (cooked), 85 g Pecorino cheese, 50 g panko breadcrumbs, 6 egg yolks, 1 clove garlic, 3 tbsp olive oil, parsley, salt, pepper","Heat olive oil; add panko and toast until golden. Grate half the pecorino and mix with warm panko. Keep toasting until crispy. Season, remove, and set aside. Cook spaghetti al dente. Cut savoy cabbage into strips, chop chestnuts, and chop garlic. Heat oil; sauté cabbage 5-7 minutes until soft. Add garlic and chestnuts, sauté briefly. Season. Whisk egg yolks with remaining pecorino and pepper. Add hot pasta to pan. Add egg mixture and pasta water to hot pasta. Mix quickly until silky sauce forms. Sprinkle pecorino crunch and parsley on top.","Cal 720, Fat 35 g, Protein 31 g, Carb 73 g","italian,pasta,main,comfort food,vegetarian,weeknight dinner,dinner party,autumn,winter"
Zuppa toscana with fried salsiccia,https://www.kitchenstories.com/en/recipes/zuppa-toscana-with-fried-salsiccia,Easy 😊,20 min,0 min,0 min,4,5,602,624,Based on 5 ratings,"500 g potatoes, 2 carrots, 2 stalks celery, 3 cloves garlic, 1 onion, 400 g Italian sausages, 1 L vegetable broth, 100 g kale, 180 ml cream, 2 tbsp olive oil, salt, pepper","Peel potatoes and cut into 1 cm cubes. Peel carrots and slice thinly. Slice celery, dice onion, and chop garlic. Heat oil; sauté onion, carrot, celery, and garlic for 5 minutes. Peel and crumble salsiccia. Add to vegetables and sauté 5-7 minutes. Add potatoes and vegetable broth. Bring to boil and simmer 15 minutes. Remove kale stems and cut leaves into pieces. Add kale to pot and cook 5 minutes. Pour in cream, stir well, and season. Let soup rest 5 minutes before serving.","Cal 624, Fat 40 g, Protein 29 g, Carb 32 g","italian,soup,one-pot,main,weeknight dinner,comfort food,pork,sausage"
Creamy one-pot French onion pasta,https://www.kitchenstories.com/en/recipes/creamy-one-pot-french-onion-pasta,Easy 😊,50 min,0 min,0 min,2,13,0,1113,Based on 13 ratings,"400 g pasta, 4 onions, 2 cloves garlic, 50 g butter, 2 tbsp olive oil, 50 ml white wine, 800 ml beef stock, 100 ml heavy cream, 4 sprigs thyme, 80 g shredded Gruyère cheese, salt, pepper","Peel onions and garlic. Mince garlic and slice onions into half-moons. Heat butter and olive oil; add sliced onions and cook 30-40 minutes, stirring occasionally, until caramelized. Deglaze with white wine. Add thyme sprigs and minced garlic, stir and simmer 2-3 minutes. Add raw pasta and beef stock. Simmer over medium-high heat, stirring frequently, until liquid is absorbed and pasta is al dente. Remove thyme sprigs, stir in cream and half the Gruyère cheese. Bring to boil until creamy, then season. Serve with remaining Gruyère.","Cal 1113, Fat 89 g, Protein 39 g, Carb 68 g","italian,french,european,main,pasta,one-pot,comfort food,dinner party,autumn,winter"
Kale Caesar salad with apples and candied walnuts,https://www.kitchenstories.com/en/recipes/kale-caesar-salad-with-apples-and-candied-walnuts,Easy 😊,30 min,0 min,0 min,4,3,504,555,Based on 3 ratings,"12 oz kale, 1 baguette, 2 apples, 40 g walnuts, 2 cloves garlic, 2 anchovies, 2 tsp Dijon mustard, 1 egg yolk, 80 ml oil, 1 lemon, 150 g Parmesan cheese, 3 tsp Worcestershire sauce, 3 tsp olive oil, 2 tsp butter, 2 tsp sugar, salt, pepper","Wash kale, remove stalk, tear into pieces. Add to bowl with salt and olive oil. Massage 1-2 minutes until softens. Cut baguette into cubes, fry with olive oil and salt until golden. Mix egg yolk, mustard, Worcestershire sauce, and anchovies. Press in garlic, add lemon juice, slowly stir in oil until creamy. Grate Parmesan and stir in. Season. Add dressing to kale, mix and let sit. Melt sugar in pan. Add butter and caramelize, stirring constantly. Add walnuts and stir until coated. Pour onto parchment to cool, then chop. Slice apple thinly. Add apples, candied walnuts, and croutons to kale. Grate fresh Parmesan over top.","Cal 555, Fat 50 g, Protein 21 g, Carb 13 g","american,salad,starter,side,main,vegetarian,crowd pleaser,dinner party,weeknight dinner,autumn,winter"
