title,description,difficulty,prep_time,cook_time,servings,ingredients,instructions,calories,protein,fats,carbs,tags,source_url
"Crispy vegan rice paper dumplings","A delicious recipe for crispy vegan rice paper dumplings that feature a flavorful filling of tofu, vegetables, and seasonings, perfect for a savory snack or meal.","easy",40,8,6,"[{""name"":""rice paper wrappers"",""amount"":""12"",""unit"":""sheets"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""firm tofu"",""amount"":""200"",""unit"":""g"",""category"":""key"",""substitutes"":[""tempeh""],""notes"":""""},{""name"":""carrot"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""button mushrooms"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[""shiitake mushrooms""],""notes"":""""},{""name"":""ginger"",""amount"":""10"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""ground ginger""],""notes"":""""},{""name"":""garlic"",""amount"":""1"",""unit"":""clove"",""category"":""flavor"",""substitutes"":[""garlic powder""],""notes"":""""},{""name"":""sesame oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""vegetable oil""],""notes"":""""},{""name"":""soy sauce"",""amount"":""1"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[""tamari""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Draine and crumble tofu into a bowl. Peel and julienne carrot. Chop mushrooms finely. Peel and mince ginger and garlic."",""Add half the sesame oil to a frying pan over medium heat. Add mushrooms and sauté until cooked and dry, approx. 5 min. Add carrots, ginger, and garlic and sauté until fragrant. Add tofu and cook until tofu is starting to brown, approx. 7 min."",""Add soy sauce and season with salt and pepper to taste. Transfer filling to a bowl and set aside. Wipe out the pan, we will use this to fry the dumplings."",""Add warm water to a rimmed plate large enough to dip your rice paper wrapper into. Dip a rice paper wrapper into the water briefly then transfer to a cutting board. Add some filling to the center of the wrapper (approx. 2 tbsp), then fold the four edges over the filling to make a rectangle-shaped dumpling. Set aside. Repeat with remaining dumpling wrappers and filling for double-wrapped dumplings."",""Add remaining toasted sesame oil to a frying pan and return to medium heat. Pan fry dumplings until crispy on both sides, approx. 8 min. Total. Serve immediately with chili crisp for dipping.""]",170,6,8,21,"vegan,main,asian,finger-food","https://www.kitchenstories.com/en/recipes/crispy-vegan-rice-paper-dumplings"
"Roasted aubergine and walnut ragù","Classic ragu, but different – here is an exciting, smoky-nutty, plant-based variation that you will love. The combination of roasted aubergine, tender walnuts, and tomato depth is literally one to melt away for.","medium",30,45,4,"[{""name"":""walnuts"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[""pine nuts"",""cashews""],""notes"":""""},{""name"":""eggplants"",""amount"":""2"",""unit"":"""",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""carrot"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""onion"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[""shallots""],""notes"":""""},{""name"":""celery"",""amount"":""2"",""unit"":""stalks"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""tomato paste"",""amount"":""2"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""dry vegan red wine"",""amount"":""200"",""unit"":""ml"",""category"":""flavor"",""substitutes"":[""grape juice""],""notes"":""""},{""name"":""tomato purée (passata)"",""amount"":""400"",""unit"":""g"",""category"":""important"",""substitutes"":[""crushed tomatoes""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""lentils (cooked)"",""amount"":""300"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""pappardelle pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""tagliatelle""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Soak the walnuts in water the day before."",""Preheat the oven to 200°C/390°F. Cut the eggplants in half lengthwise, prick the cut surfaces with a fork, place cut-side up on a baking tray, drizzle with oil, and bake for approx. 40–50 min. until soft."",""Peel and finely dice the carrots and onion. Wash the celery and cut into small pieces. Peel and finely chop the garlic."",""Drain soaked walnuts, cover with fresh water in a saucepan, bring to boil and simmer on low heat for approx. 10–20 min. until soft."",""Allow the aubergines to cool briefly, then finely chop the flesh. Drain the nuts after cooking and finely chop or crumble them."",""Heat oil in a large frying pan, fry vegetables until onions are lightly browned, then add garlic and bay leaves and fry briefly."",""Stir in tomato paste, deglaze with red wine, bring to a boil and reduce by half."",""Add eggplant flesh, walnuts, tomato passata, lentils, and vegetable broth. Stir in miso paste, season with salt and pepper and let it simmer for approx. 15–20 min. until the ragout is creamy. Season to taste."",""Cook pasta according to package instructions, drain and mix with the ragout or serve separately. Sprinkle with parsley and season again to taste.""]",721,26,16,99,"vegan,italian,pasta,main","https://www.kitchenstories.com/en/recipes/roasted-aubergine-and-walnut-ragu"
"One-pot creamy chickpea and spinach curry","This recipe is a delicious, nourishing and comforting dish that's vegan and gluten-free, taking just 30 minutes to make.","easy",30,0,4,"[{""name"":""canned chickpeas"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""white beans""],""notes"":""""},{""name"":""baby spinach"",""amount"":""150"",""unit"":""g"",""category"":""important"",""substitutes"":[""kale""],""notes"":""""},{""name"":""onion"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""ginger"",""amount"":""20"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""green chili"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""lemon"",""amount"":""½"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""vegetable oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""coconut oil""],""notes"":""""},{""name"":""ground turmeric"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""garam masala"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[""curry powder""],""notes"":""""},{""name"":""water"",""amount"":""300"",""unit"":""ml"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""coconut milk"",""amount"":""400"",""unit"":""ml"",""category"":""important"",""substitutes"":[""cream""],""notes"":""""},{""name"":""sugar"",""amount"":""1"",""unit"":""pinch"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Finely dice the onion. Crush the garlic until broken up and sticky. Peel and finely mince the ginger. Slice the green chili, if using. Wash and drain the baby spinach. Zest and juice the lemon."",""Add vegetable oil to a medium-sized heavy-based pot over medium high-heat. Once hot, add the onion, garlic, ginger, and a pinch of salt; sauté until soft, approx. 5 min. Next, add the chickpeas, ground turmeric, garam masala, sliced green chili, and black pepper. Fry for approx. 3 min, until fragrant."",""Add water and scrape the bottom of the pot. Bring to a boil, cook on a high simmer for approx. 5 min. Next, add coconut milk, season with salt and a pinch of sugar. Reduce heat to medium, and cook with the lid half on for approx. 10 min. Add lemon zest and juice to taste. Turn off the heat, add baby spinach and stir well. Place the lid on and leave the spinach to wilt for approx. 5 min. Serve with basmati rice and extra green chili if desired.""]",381,9,30,26,"vegan,one-pot,curry,indian,main","https://www.kitchenstories.com/en/recipes/one-pot-creamy-chickpea-and-spinach-curry"
"Creamy pumpkin curry udon","These super saucy, creamy udon noodles are my new, ultimate fall comfort food! Not only does it fit perfectly into the season in terms of color, it also combines the most perfect flavors.","easy",30,0,2,"[{""name"":""udon noodles (pre-cooked)"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""soba noodles"",""rice noodles""],""notes"":""""},{""name"":""Hokkaido pumpkins"",""amount"":""750"",""unit"":""g"",""category"":""key"",""substitutes"":[""butternut squash""],""notes"":""""},{""name"":""scallions"",""amount"":""2"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""1"",""unit"":""clove"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""ginger"",""amount"":""10"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""curry powder"",""amount"":""1"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""vegetable broth"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""coconut milk"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""white miso paste"",""amount"":""1.5"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""baby spinach"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""lime"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[""lemon""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Peel and finely chop garlic and ginger. Slice the white part of the scallions into rings, slice the green part diagonally and set aside for serving. Cut pumpkin into small equal cubes (approx. 1.5x1.5 cm/ 0.6x0.6 in.)."",""Add oil to a medium pot and add ginger, garlic and the white part of the scallions and fry until translucent. Then add pumpkin and fry for approx. 5 min. Add curry powder and fry briefly then deglaze with vegetable stock and coconut milk. Let simmer for further approx. 7 min. more until the pumpkin is soft."",""With a immersion blender, puree briefly so that the sauce gets creamy but there are still some pumpkin cubes left. Then add miso and stir until dissolved. Now add udon noodles and gently separate them while heating up for approx. 3 min."",""Season to taste with lime juice. Then just before serving add spinach and let wilt briefly. Divide into bowls and sprinkle with the green scallion rings, black sesame and some chili if desired.""]",1285,35,39,208,"vegan,noodles,asian,main,comfort-food","https://www.kitchenstories.com/en/recipes/creamy-pumpkin-curry-udon"
"Butternut squash Wellington","This butternut squash Wellington is the ideal meatless main for the festive season: impressive yet wonderfully uncomplicated.","medium",30,80,6,"[{""name"":""butternut squash"",""amount"":""1"",""unit"":"""",""category"":""key"",""substitutes"":[""pumpkin""],""notes"":""""},{""name"":""walnuts"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[""pecans""],""notes"":""""},{""name"":""button mushrooms"",""amount"":""300"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""baby spinach"",""amount"":""800"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""shallots"",""amount"":""2"",""unit"":"""",""category"":""important"",""substitutes"":[""onions""],""notes"":""""},{""name"":""garlic"",""amount"":""2 cloves"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""thyme"",""amount"":""30"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""rosemary"",""amount"":""30"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""sage"",""amount"":""30"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""soy sauce"",""amount"":""3"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""puff pastry sheets"",""amount"":""2"",""unit"":"""",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""Dijon mustard"",""amount"":""1"",""unit"":""tbsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""butter"",""amount"":""1"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegan butter""],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Preheat the oven to 200°C/390°F. Halve, deseed and peel butternut squash. Separate and cube cavity part. Season squash with salt and pepper and toss with some olive oil. Bake at 200°C/390°F for approx. 30 min. Meanwhile peel and finely dice shallots, peel and finely mince garlic and slice mushrooms. After the baking time, add walnuts to the baking sheet with squash and bake for approx. 5 min. more. Remove from the oven and set aside."",""Heat butter and olive oil in a large pan over medium heat. Sauté shallots until translucent. Add mushrooms and fry for approx. 10 min. until brown. Then add garlic, thyme, sage and rosemary and fry for approx. 3 min. more until fragrant. Add soy sauce, stir in and let simmer briefly until liquid is evaporated."",""Add the fried mushrooms together with roasted squash cubes, walnuts and Dijon mustard into a blender and blend to a coarse mixture. Briefly blanch the spinach in boiling salted water, then rinse with cold water and squeeze out all the excess liquid from the spinach with your hands."",""Roll out a piece of puff pastry on a baking sheet lined with parchment paper and spread half of mushroom-nut mixture in a rectangle in the center. Now, distribute spinach evenly over the mixture. Place baked pumpkin halves cut-side down onto the spinach, cover them with the remaining mushroom mixture, and smooth it out. Cover with another piece of puff pastry and press down gently. Now, trim off excess puff pastry and cut it into strips. Arrange the strips in a pattern over the puff pastry roll. Brush with a little soy milk and bake in the preheated oven at 200°C/390°F for approx. 50 min. Until the puff pastry is golden brown. Remove from oven, let it rest briefly, then slice it and serve with your choice of side dishes.""]",500,15,36,42,"vegan,main,christmas,festive","https://www.kitchenstories.com/en/recipes/butternut-squash-wellington"
"Red cabbage hash browns with kale and garlic mushrooms","Hash browns and veggie fritters are absolute classics! Red cabbage makes it happen with its natural sweetness and vibrant hue.","medium",35,20,4,"[{""name"":""red cabbage"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""potatoes"",""amount"":""100"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""onion"",""amount"":""1"",""unit"":""unit"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""kale"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[""spinach""],""notes"":""""},{""name"":""mixed mushrooms"",""amount"":""300"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""eggs"",""amount"":""2"",""unit"":""unit"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""flour"",""amount"":""4"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""oil"",""amount"":""3"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""heavy cream"",""amount"":""150"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""butter"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""parsley (for serving)"",""amount"":""2"",""unit"":""pinches"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""nutmeg (ground)"",""amount"":""2"",""unit"":""pinches"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":""1"",""unit"":""unit"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":""1"",""unit"":""unit"",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Preheat oven to 200°C/392°F on top/bottom heat. Start with preparing the veggies by shredding red cabbage finely. Then, peel and grate potatoes, peel and finely chop onion and garlic, remove stalks from kale and roughly chop them. Finally, cut mushrooms into bite-sized pieces."",""Mix shredded red cabbage and potato with eggs, flour, salt, pepper, and nutmeg in a bowl. Spoon small amounts of the mix onto a baking sheet lined with parchment paper. Drizzle each portion with some oil and bake for approx. 20 min. until golden brown, turning them over once. While they are baking, continue with the recipe."",""Meanwhile, heat oil in a pot and sauté onion until translucent. Add kale and cook for approx. 5–7 min. more over medium heat. Then, stir in heavy cream and cook until creamy. Season with nutmeg, salt and pepper."",""Heat remaining oil in a pan, add mushrooms, and fry for approx. 5–8 min. until golden brown. Add butter and fry until golden brown as well. Then, add garlic and briefly sauté. Season with salt and pepper. On a plate, serve hash browns with creamy kale, mushrooms, and sprinkle with parsley.""]",525,8,49,30,"vegetarian,main,side","https://www.kitchenstories.com/en/recipes/red-cabbage-hash-browns-with-kale-and-garlic-mushrooms"
"Savoy cabbage carbonara with chestnut","Carbonara never fails to impress, and you might think it's already perfect as it is. However, this recipe shows just how versatile the concept can be.","medium",30,10,4,"[{""name"":""spaghetti"",""amount"":""500"",""unit"":""g"",""category"":""key"",""substitutes"":[""linguine""],""notes"":""""},{""name"":""savoy cabbages"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""chestnuts (cooked and peeled)"",""amount"":""150"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""Pecorino cheese"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[""parmesan""],""notes"":""""},{""name"":""panko breadcrumbs"",""amount"":""50"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""regular breadcrumbs""],""notes"":""""},{""name"":""egg yolks"",""amount"":""6"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""1"",""unit"":""clove"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""3"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Heat olive oil in a large pan. Add panko and toast until golden brown. Finely grate half the pecorino and mix with warm panko. Continue until the pecorino is crispy and brown. Season with salt and pepper, remove from the pan, and set aside."",""Cook spaghetti according to package instructions until al dente. Reserve some pasta water, then drain. Cut savoy cabbage into fine strips, roughly chop the chestnuts, and finely chop the peeled garlic."",""In the same large pan, heat more olive oil and sauté savoy cabbage for about 5–7 minutes until soft and lightly browned. Add garlic and chopped chestnuts, then sauté briefly. Season with salt and pepper."",""Whisk egg yolks with the remaining pecorino and pepper in a small bowl. Add the hot pasta to the pan along with the egg mixture and reserved pasta water. Mix quickly until the sauce is silky. Add more water if necessary. Top with pecorino crunch and chopped parsley, and serve immediately.""]",720,31,35,73,"vegetarian,pasta,italian,main","https://www.kitchenstories.com/en/recipes/savoy-cabbage-carbonara-with-chestnut"
"Zuppa toscana with fried salsiccia","As one of Italy's most famous soups, zuppa toscana is a hearty and creamy soup combining a big range of flavors.","easy",20,25,4,"[{""name"":""all-rounder potatoes"",""amount"":""500"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""carrots"",""amount"":""2"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""celery"",""amount"":""2"",""unit"":""stalks"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""onion"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""Italian sausages"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""chorizo""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""1000"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""kale"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[""spinach""],""notes"":""""},{""name"":""cream"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Peel potatoes and cut into approx. 1 cm cubes. Peel carrots, and slice thinly. Slice celery into small pieces, dice onion, and finely chop garlic. Heat oil in a large pot, then sauté onion, carrot, celery, and garlic for approx. 5 min. until translucent."",""Next, peel and crumble salsiccia. Add to the vegetables in the pot and sauté everything together for approx. 5–7 min. until sausage is slightly browned. Add potatoes and vegetable broth. Bring to a boil and simmer over medium for approx. 15 min. until potatoes are soft. Meanwhile, remove thick stems from kale and cut leaves into bite-sized pieces."",""Add kale to the pot and cook for approx. 5 min. more. Pour in cream, stir well, and season with salt and pepper to taste. Let the zuppa toscana rest for approx. 5 min. before serving.""]",624,29,40,32,"soup,italian,main","https://www.kitchenstories.com/en/recipes/zuppa-toscana-with-fried-salsiccia"
"Creamy one-pot French onion pasta","This pasta brings together the best of two worlds: the deep, roasted flavors of French onion soup and the velvety creaminess of Italian pasta.","easy",50,0,2,"[{""name"":""pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""onions"",""amount"":""4"",""unit"":"""",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""butter"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""white wine"",""amount"":""50"",""unit"":""ml"",""category"":""flavor"",""substitutes"":[""vegetable broth""],""notes"":""""},{""name"":""beef stock"",""amount"":""800"",""unit"":""ml"",""category"":""important"",""substitutes"":[""vegetable stock""],""notes"":""""},{""name"":""heavy cream"",""amount"":""100"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""thyme"",""amount"":""4"",""unit"":""sprigs"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""shredded Gruyère cheese"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[""swiss cheese""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Peel onions and garlic. Finely mince garlic and set aside, then slice onions as thinly as possible into fine half-moons. Heat the butter and olive oil in a large frying pan. Once the butter has melted, add the sliced onions and cook over a low to medium heat for approx. 30–40 min., stirring occasionally, until soft and caramelised."",""Once onions are very soft and caramelised to a golden brown, deglaze with white wine. Use a wooden spoon to scrape the browned bits from the bottom of the pan. Then add thyme sprigs and minced garlic, stir and let simmer for approx. 2–3 min. until fragrant."",""Next, add the raw pasta and beef stock to the pan. Simmer over medium-high heat, stirring frequently, until the liquid is absorbed and the pasta is al dente. Remove the thyme sprigs, then stir in the cream and half of the Gruyère cheese. Bring to a boil once more until the sauce is creamy, then season to taste with salt and pepper. To serve, sprinkle with the remaining Gruyère and garnish with fresh thyme leaves, if desired.""]",1113,39,89,68,"pasta,french,one-pot,main,comfort-food","https://www.kitchenstories.com/en/recipes/creamy-one-pot-french-onion-pasta"
"Kale Caesar salad with apples and candied walnuts","A delicious kale salad featuring tangy Caesar dressing, crisp apples, and caramelized walnuts, perfect for showcasing this versatile winter vegetable.","easy",30,0,4,"[{""name"":""kale"",""amount"":""350"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""baguette"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""apples (tart)"",""amount"":""2"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""walnuts"",""amount"":""40"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""pecans""],""notes"":""""},{""name"":""garlic"",""amount"":""2"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""anchovies"",""amount"":""2"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""Dijon mustard"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""egg yolk"",""amount"":""1"",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""oil"",""amount"":""80"",""unit"":""ml"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""lemon"",""amount"":""1"",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""Parmesan cheese"",""amount"":""150"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""Worcestershire sauce"",""amount"":""3"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""butter"",""amount"":""2"",""unit"":""tsp"",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""sugar"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Wash the kale, remove the stalk, and tear the leaves into bite-sized pieces. Add kale to a large bowl, sprinkle with a pinch of salt and some of the olive oil, and massage gently for approx. 1–2 min. until it softens and darkens in color."",""For the dressing, mix egg yolk, mustard, Worcestershire sauce, and (if desired) anchovies in a bowl. Press in the garlic and add the lemon juice, then slowly stir in the remaining olive oil until the dressing becomes creamy. Finely grate the Parmesan and stir into the dressing, season to taste with salt and pepper. Add the dressing to the kale, mix, and let it sit briefly."",""Wipe out the previously used pan. Set the pan to low-medium heat, add sugar and allow to melt. Add butter and caramelize over medium heat, stirring constantly, until the mixture turns a light brown color. Then add walnuts and stir briefly until they are completely covered in caramel. Pour onto baking paper and leave to cool completely, then chop coarsely. Cut the apple into thin slices. Add the apples, caramelized walnuts, and croutons to the kale. To serve, grate some fresh Parmesan cheese over the top.""]",555,21,50,13,"salad,american,side,main","https://www.kitchenstories.com/en/recipes/kale-caesar-salad-with-apples-and-candied-walnuts"
