title,description,difficulty,prep_time,cook_time,servings,ingredients,instructions,calories,protein,fats,carbs,tags,source_url
Pasta Ramen,"This super easy, budget-friendly, and super comforting dish is here to save busy weeknights by combining the best of two classics.",easy,10,20,1,"[{""name"":""spaghetti"",""amount"":""250"",""unit"":""g"",""category"":""key"",""substitutes"":[""linguine"",""fettuccine"",""angel hair"",""bucatini""],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""fresh ginger"",""amount"":""15"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""soy sauce"",""amount"":""3"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[""tamari"",""coconut aminos"",""worcestershire sauce"",""liquid aminos""],""notes"":""""},{""name"":""sesame oil"",""amount"":""1"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""peanut oil"",""vegetable oil with sesame seeds""],""notes"":""""},{""name"":""rice vinegar"",""amount"":""1"",""unit"":""tbsp"",""category"":""key"",""substitutes"":[""apple cider vinegar"",""white wine vinegar"",""lime juice""],""notes"":""""},{""name"":""sugar"",""amount"":""1"",""unit"":""tsp"",""category"":""base"",""substitutes"":[""honey"",""maple syrup"",""agave"",""coconut sugar""],""notes"":""""},{""name"":""2 eggs"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""3 scallions"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""sesame seeds"",""amount"":""1"",""unit"":""tsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""chili oil for serving"",""amount"":"""",""unit"":"""",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""}]","[""Cut the ends off the garlic and ginger and peel"",""Finely chop the garlic and grate the ginger"",""Mix together the soy sauce, sesame oil, rice vinegar, sugar, grated ginger, and chopped garlic in a bowl and set aside"",""Bring a large pot of water to a boil, season generously with salt, and cook pasta according to package instructions"",""Drain the pasta, reserving 1 - 1.5 cups of pasta water"",""In the meantime, bring another pot of water to a boil"",""Add the eggs and boil for approx"",""Remove the eggs from the water and rinse them in cold water, then peel and cut in half"",""Cut the scallion into small slices"",""Add the pasta back to the pot, toss with the soy sauce mixture, and mix together, adding the reserved pasta water a bit at a time until the pasta has a glossy, slightly loose sauce"",""Season with more soy sauce and rice vinegar to taste"",""Serve pasta with jammy eggs, thinly sliced scallion, sesame seeds, and chili oil""]",581,22,19,80,"asian,weeknight dinner,vegetarian,main,pasta,for one,lactose free,meatless,savory,frying,egg,dairy free,for two,herbs,boiling,budget-bites",https://www.kitchenstories.com/en/recipes/pasta-ramen
Marry Me Pasta,Creamy sun-dried tomato and Parmesan pasta so good it just might inspire a marriage proposal. This ultra-indulgent recipe combines the best of two classics.,easy,15,20,2,"[{""name"":""penne"",""amount"":""250"",""unit"":""g"",""category"":""key"",""substitutes"":[""rigatoni"",""ziti"",""fusilli"",""farfalle""],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""sun-dried tomatoes in oil"",""amount"":""80"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""fresh basil"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""1"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""chili flakes"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""heavy cream"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[""chicken broth"",""water with bouillon"",""mushroom broth""],""notes"":""""},{""name"":""parmesan cheese (grated)"",""amount"":""60"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Finely chop the garlic and sun-dried tomatoes"",""Roughly chop the basil"",""Heat olive oil in a frying pan over medium heat, add garlic and chili flakes and sauté for approx"",""Add the sun-dried tomatoes and sauté for approx"",""Deglaze the pan with vegetable broth"",""Add heavy cream and simmer for approx"",""until the sauce has thickened"",""Add the Parmesan cheese and stir until melted"",""Season with salt and pepper"",""In the meantime, cook pasta according to package instructions until al dente"",""Drain the pasta, reserving some pasta water"",""Add the pasta to the sauce and toss to combine, adding pasta water as needed until the sauce coats the pasta"",""Serve with fresh basil and more Parmesan cheese""]",1018,38,34,140,"italian,weeknight dinner,vegetarian,main,cheese,crowd pleaser,pasta,lactose free,comfort food,meatless,european,savory,for two,dairy,vegetables,sauteing",https://www.kitchenstories.com/en/recipes/marry-me-pasta
One-pot creamy mushroom pasta,"This one-pot mushroom pasta is so creamy and comforting, you'll want to make it again and again. Ready in just 35 minutes!",easy,15,20,4,"[{""name"":""pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""rice noodles"",""egg noodles"",""zucchini noodles"",""spaghetti squash""],""notes"":""""},{""name"":""mushrooms"",""amount"":""500"",""unit"":""g"",""category"":""important"",""substitutes"":[""portobello"",""shiitake"",""cremini"",""button mushrooms""],""notes"":""""},{""name"":""1 onion"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""800"",""unit"":""ml"",""category"":""important"",""substitutes"":[""chicken broth"",""water with bouillon"",""mushroom broth""],""notes"":""""},{""name"":""heavy cream"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""parsley"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""cilantro"",""chervil"",""celery leaves""],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Slice the mushrooms"",""Finely chop the onion and garlic"",""Roughly chop the parsley"",""Heat olive oil in a large pot over medium-high heat"",""Add mushrooms and cook for approx"",""until browned"",""Add onion and garlic and cook for approx"",""Add pasta and vegetable broth"",""Bring to a boil, then reduce heat and simmer for approx"",""10 - 12 min"",""until pasta is al dente and most of the liquid has been absorbed"",""Stir in heavy cream and Parmesan cheese"",""Season with salt and pepper"",""Serve with parsley and more Parmesan cheese""]",634,24,21,87,"italian,weeknight dinner,vegetarian,one pot,main,cheese,crowd pleaser,pasta,comfort food,meatless,european,savory,for four,dairy,vegetables,sauteing",https://www.kitchenstories.com/en/recipes/one-pot-creamy-mushroom-pasta
One-pot pasta alla vodka,"This one-pot pasta alla vodka is creamy, indulgent, and ready in just 30 minutes. A weeknight dinner winner!",easy,10,20,4,"[{""name"":""rigatoni"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""1 onion"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""4"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""tomato paste"",""amount"":""2"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[""tomato sauce"",""ketchup"",""sun-dried tomatoes""],""notes"":""""},{""name"":""vodka"",""amount"":""60"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""heavy cream"",""amount"":""400"",""unit"":""ml"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""crushed tomatoes"",""amount"":""400"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""vegetable broth"",""amount"":""600"",""unit"":""ml"",""category"":""important"",""substitutes"":[""chicken broth"",""water with bouillon"",""mushroom broth""],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""basil"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""oregano"",""parsley"",""cilantro"",""mint""],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""chili flakes"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Finely chop the onion and garlic"",""Roughly chop the basil"",""Heat olive oil in a large pot over medium heat"",""Add onion and cook for approx"",""until softened"",""Add garlic and chili flakes and cook for approx"",""Stir in tomato paste and cook for approx"",""Add vodka and let simmer for approx"",""Add crushed tomatoes, vegetable broth, and heavy cream"",""Bring to a boil"",""Add pasta and cook for approx"",""10 - 12 min"",""until al dente, stirring occasionally"",""Stir in Parmesan cheese and season with salt and pepper"",""Serve with fresh basil and more Parmesan cheese""]",688,26,23,95,"italian,weeknight dinner,vegetarian,one pot,main,cheese,crowd pleaser,pasta,comfort food,meatless,european,savory,for four,dairy,vegetables,sauteing",https://www.kitchenstories.com/en/recipes/one-pot-pasta-alla-vodka
Pasta e fagioli,"This Italian classic is hearty, comforting, and packed with flavor. Ready in just 45 minutes!",easy,15,30,4,"[{""name"":""ditalini pasta"",""amount"":""200"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""1 can white beans"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""1 can crushed tomatoes"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""1 onion"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""2 carrots"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""2 celery stalks"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""800"",""unit"":""ml"",""category"":""important"",""substitutes"":[""chicken broth"",""water with bouillon"",""mushroom broth""],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""rosemary"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""thyme"",""oregano"",""sage""],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Finely chop the onion, carrots, celery, and garlic"",""Drain and rinse the white beans"",""Roughly chop the rosemary"",""Heat olive oil in a large pot over medium heat"",""Add onion, carrots, and celery and cook for approx"",""until softened"",""Add garlic and rosemary and cook for approx"",""Add crushed tomatoes and vegetable broth"",""Bring to a boil, then reduce heat and simmer for approx"",""Add white beans and pasta and cook for approx"",""10 - 12 min"",""until pasta is al dente"",""Season with salt and pepper"",""Serve with Parmesan cheese""]",505,19,17,69,"italian,weeknight dinner,vegetarian,one pot,soup,main,pasta,comfort food,meatless,european,savory,for four,vegetables,sauteing",https://www.kitchenstories.com/en/recipes/pasta-e-fagioli
Cajun chicken alfredo,"Creamy, spicy, and utterly indulgent - this Cajun chicken alfredo is a crowd-pleaser! Ready in just 35 minutes.",easy,15,20,4,"[{""name"":""fettuccine"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""chicken breast"",""amount"":""500"",""unit"":""g"",""category"":""key"",""substitutes"":[""turkey breast"",""pork tenderloin"",""tofu"",""seitan"",""chicken thighs""],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""heavy cream"",""amount"":""300"",""unit"":""ml"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""cajun seasoning"",""amount"":""2"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""parsley"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""cilantro"",""chervil"",""celery leaves""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Cut the chicken breast into bite-sized pieces and season with Cajun seasoning, salt, and pepper"",""Finely chop the garlic"",""Roughly chop the parsley"",""Heat olive oil in a large pan over medium-high heat"",""Add chicken and cook for approx"",""until browned and cooked through"",""Remove from pan and set aside"",""In the same pan, add garlic and cook for approx"",""Add heavy cream and bring to a simmer"",""Add Parmesan cheese and stir until melted"",""Season with salt and pepper"",""In the meantime, cook pasta according to package instructions until al dente"",""Drain the pasta, reserving some pasta water"",""Add the pasta and chicken to the sauce and toss to combine, adding pasta water as needed"",""Serve with parsley and more Parmesan cheese""]",892,33,30,123,"american,weeknight dinner,main,cheese,crowd pleaser,pasta,comfort food,savory,for four,dairy,chicken,sauteing",https://www.kitchenstories.com/en/recipes/cajun-chicken-alfredo
Feta pasta bake,"This viral TikTok feta pasta is creamy, tangy, and ridiculously easy. Just toss everything in the oven and dinner is done!",easy,10,35,4,"[{""name"":""pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""rice noodles"",""egg noodles"",""zucchini noodles"",""spaghetti squash""],""notes"":""""},{""name"":""cherry tomatoes"",""amount"":""400"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""feta cheese"",""amount"":""200"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""4"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""olive oil"",""amount"":""60"",""unit"":""ml"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""basil"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""oregano"",""parsley"",""cilantro"",""mint""],""notes"":""""},{""name"":""chili flakes"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Preheat the oven to 200°C/400°F"",""Place cherry tomatoes and whole garlic cloves in a baking dish"",""Place the block of feta cheese in the center"",""Drizzle with olive oil and season with chili flakes, salt, and pepper"",""Bake for approx"",""30 - 35 min"",""until tomatoes are bursting and feta is golden"",""In the meantime, cook pasta according to package instructions until al dente"",""Drain the pasta, reserving some pasta water"",""Remove the baking dish from the oven and mash the tomatoes, garlic, and feta together to create a creamy sauce"",""Add the pasta and toss to combine, adding pasta water as needed"",""Roughly chop the basil and stir into the pasta"",""Serve immediately""]",658,25,22,90,"italian,weeknight dinner,vegetarian,main,cheese,crowd pleaser,pasta,comfort food,meatless,european,savory,for four,dairy,vegetables,baking",https://www.kitchenstories.com/en/recipes/feta-pasta-bake
Pumpkin pasta,"This creamy pumpkin pasta is the ultimate fall comfort food. Sweet, savory, and ready in 40 minutes!",easy,15,25,4,"[{""name"":""pasta"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[""rice noodles"",""egg noodles"",""zucchini noodles"",""spaghetti squash""],""notes"":""""},{""name"":""pumpkin puree"",""amount"":""500"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""1 onion"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""heavy cream"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[""chicken broth"",""water with bouillon"",""mushroom broth""],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""nutmeg"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[""mace"",""cinnamon"",""allspice""],""notes"":""""},{""name"":""sage"",""amount"":""5"",""unit"":""g"",""category"":""important"",""substitutes"":[""rosemary"",""thyme"",""marjoram""],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Finely chop the onion and garlic"",""Roughly chop the sage"",""Heat olive oil in a large pan over medium heat"",""Add onion and cook for approx"",""until softened"",""Add garlic and nutmeg and cook for approx"",""Add pumpkin puree, vegetable broth, and heavy cream"",""Bring to a simmer and cook for approx"",""10 - 15 min"",""until the sauce has thickened"",""Stir in Parmesan cheese and season with salt and pepper"",""In the meantime, cook pasta according to package instructions until al dente"",""Drain the pasta, reserving some pasta water"",""Add the pasta to the sauce and toss to combine, adding pasta water as needed"",""Serve with sage and more Parmesan cheese""]",612,23,20,84,"italian,weeknight dinner,vegetarian,main,cheese,pasta,comfort food,meatless,european,savory,for four,dairy,vegetables,autumn,sauteing",https://www.kitchenstories.com/en/recipes/pumpkin-pasta
Creamy sun-dried tomato pasta,"This creamy sun-dried tomato pasta is rich, flavorful, and ready in just 25 minutes. Pure comfort in a bowl!",easy,10,15,2,"[{""name"":""pasta"",""amount"":""250"",""unit"":""g"",""category"":""key"",""substitutes"":[""rice noodles"",""egg noodles"",""zucchini noodles"",""spaghetti squash""],""notes"":""""},{""name"":""sun-dried tomatoes in oil"",""amount"":""100"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""3"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""heavy cream"",""amount"":""200"",""unit"":""ml"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""vegetable broth"",""amount"":""100"",""unit"":""ml"",""category"":""important"",""substitutes"":[""chicken broth"",""water with bouillon"",""mushroom broth""],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""basil"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""oregano"",""parsley"",""cilantro"",""mint""],""notes"":""""},{""name"":""chili flakes"",""amount"":""1"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Finely chop the garlic and sun-dried tomatoes"",""Roughly chop the basil"",""Heat 2 tbsp of oil from the sun-dried tomatoes jar in a pan over medium heat"",""Add garlic and chili flakes and cook for approx"",""Add sun-dried tomatoes and cook for approx"",""Add vegetable broth and heavy cream"",""Bring to a simmer and cook for approx"",""until the sauce has thickened"",""Stir in Parmesan cheese and season with salt and pepper"",""In the meantime, cook pasta according to package instructions until al dente"",""Drain the pasta, reserving some pasta water"",""Add the pasta to the sauce and toss to combine, adding pasta water as needed"",""Serve with basil and more Parmesan cheese""]",823,31,27,113,"italian,weeknight dinner,vegetarian,main,cheese,pasta,comfort food,meatless,european,savory,for two,dairy,vegetables,sauteing",https://www.kitchenstories.com/en/recipes/creamy-sun-dried-tomato-pasta
Spicy vodka rigatoni,"This spicy vodka rigatoni is creamy, indulgent, and has the perfect kick. Ready in 30 minutes!",easy,10,20,4,"[{""name"":""rigatoni"",""amount"":""400"",""unit"":""g"",""category"":""key"",""substitutes"":[],""notes"":""""},{""name"":""1 onion"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""garlic"",""amount"":""4"",""unit"":""cloves"",""category"":""flavor"",""substitutes"":[""garlic powder"",""shallots"",""garlic paste""],""notes"":""""},{""name"":""tomato paste"",""amount"":""2"",""unit"":""tbsp"",""category"":""important"",""substitutes"":[""tomato sauce"",""ketchup"",""sun-dried tomatoes""],""notes"":""""},{""name"":""vodka"",""amount"":""60"",""unit"":""ml"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""heavy cream"",""amount"":""400"",""unit"":""ml"",""category"":""important"",""substitutes"":[""coconut cream"",""evaporated milk"",""half and half"",""milk and butter""],""notes"":""""},{""name"":""crushed tomatoes"",""amount"":""400"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""parmesan cheese"",""amount"":""50"",""unit"":""g"",""category"":""important"",""substitutes"":[],""notes"":""""},{""name"":""basil"",""amount"":""5"",""unit"":""g"",""category"":""flavor"",""substitutes"":[""oregano"",""parsley"",""cilantro"",""mint""],""notes"":""""},{""name"":""olive oil"",""amount"":""2"",""unit"":""tbsp"",""category"":""base"",""substitutes"":[""vegetable oil"",""avocado oil"",""grapeseed oil"",""canola oil""],""notes"":""""},{""name"":""chili flakes"",""amount"":""2"",""unit"":""tsp"",""category"":""flavor"",""substitutes"":[],""notes"":""""},{""name"":""salt"",""amount"":"""",""unit"":"""",""category"":""base"",""substitutes"":[],""notes"":""""},{""name"":""pepper"",""amount"":"""",""unit"":"""",""category"":""important"",""substitutes"":[],""notes"":""""}]","[""Finely chop the onion and garlic"",""Roughly chop the basil"",""Heat olive oil in a large pan over medium heat"",""Add onion and cook for approx"",""until softened"",""Add garlic and chili flakes and cook for approx"",""Stir in tomato paste and cook for approx"",""Add vodka and let simmer for approx"",""to cook off the alcohol"",""Add crushed tomatoes and heavy cream"",""Bring to a simmer and cook for approx"",""until the sauce has thickened"",""Stir in Parmesan cheese and season with salt and pepper"",""In the meantime, cook pasta according to package instructions until al dente"",""Drain the pasta, reserving some pasta water"",""Add the pasta to the sauce and toss to combine, adding pasta water as needed"",""Serve with basil and more Parmesan cheese""]",712,27,24,98,"italian,weeknight dinner,vegetarian,main,cheese,crowd pleaser,pasta,comfort food,meatless,european,savory,for four,dairy,vegetables,sauteing",https://www.kitchenstories.com/en/recipes/spicy-vodka-rigatoni
